,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
530,皇朝家俬,01198,HK,0.64,-,-,-,-,-,17.62亿,HK,8.11亿,18.7643,0.72,17.62亿,1.10,家居耐用消费品,0.14%,-,-
531,华夏健康产业,01143,HK,0.10,-,-,-,"    华夏健康产业集团有限公司是一家优质的电子制造服务(EMS) 供应商及消费电子产品分销商,总部设在香港,并於2011年1月在香港联合交易所主版上市(股份代号1143)。集团为国际知名品牌的消费类电子产品提供一站式的电子制造服务。目前集团的客户已涵盖日本,亚太地区,美洲与欧洲等地。除为国际知名品牌的消费类电子产品提供一站式的电子制造服务外,集团亦不断地改变业务模式,并拓展品牌业务。",-,49.55亿,HK,8.52亿,-,1.80,49.55亿,1.14,电子消费品,6.08%,-,-
532,佳华百货控股,00602,HK,0.64,-,-,-,"    深圳市百佳华百货有限公司是一家由中国商务部批准成立的外商独资企业,注册资金22040万元。目前,公司在深圳、东莞、佛山及广西等地创办了20家大型连锁商场,经营面积逾22万平方米,经营商品达5万余种,员工人数8000余人。
    公司从1995年第一家门店创设以来,坚持以组织结构专业化、工作流程标准化、企业管理规范化为核心,建立一整套营销策划、店铺开发、卖场规划、采购配送、质量检验等规范流程,坚持走可持续发展道路。",-,10.38亿,HK,4.88亿,10.46,0.74,10.38亿,0.54,百货公司,0.04%,-,-
533,泰加保险,06161,HK,0.81,-,-,-,"    泰加保险有限公司(「泰加保险」)成立於1977年,是目前全香港最大的汽车保险公司之一。泰加保险主营汽车承保业务,2012年为公司的35周年庆。
    泰加保险提供了各式各样的汽车保险服务,旨在全方位为承保人防范第三方风险并竭尽全力保全顾客利益,补偿顾客因损毁、维修、盗窃及报销而所遭受的损失。泰加保险於的士、小巴、私家车、货车或电单车等方面为顾客提供最合适的保险计划。欢迎与我们联络以查询有关汽车保险之事宜。",-,5.21亿,HK,9.80亿,-,2.33,5.21亿,-,-,0.03%,-,-
534,南戈壁-S,01878,HK,1.16,-,-,-,"    南戈壁资源公司是一家大型煤炭生产和开发企业,在蒙古国境内最接近中国边境的位置拥有战略性煤炭资源储备,其中包括蒙古国南戈壁区的二叠纪焦煤煤田和热能煤煤田。南戈壁资源公司主要针对这些煤田进行勘探和开发,并向蒙古国和中国供应各类煤炭产品。敖包特陶勒盖是本公司最具代表性的煤矿之一,一直在向全球最大的煤炭消费国---中国输送煤炭,该煤矿位於蒙古国南部,距离蒙中边境线约公里。",-,2.73亿,HK,5.15亿,-,1.63,2.73亿,0.65,煤炭开采及相关贸易,0.04%,-,-
535,华讯,00833,HK,0.94,-,-,-,"    华讯股份有限公司于2005年于香港联合交易所上市。自1993年起,华讯已定下设计及生产高质量兼且时尚的优化家居电子产品为方针,并精益求精,竭力满足客户的要求。集团主要从事优化家居电子产品的研发、生产及销售,产品包括:洒水控制器、一氧化碳探测器、音响设备、聪明卡及阅读设备、无线电调控钟(附自动时间调节)及时钟活动组件、电池充电器及其它电子产品零件。集团亦拥有专业及经验丰富团队生产精密模具及塑胶组件。。",-,5.26亿,HK,24.86亿,34.72,5.06,5.26亿,2.40,电子消费品,0.18%,-,-
536,中国电信,00728,HK,4.36,-,-,-,"    中国电信股份有限公司是全业务综合信息服务提供商,也是全球最大的固定电信及宽带服务运营商,在中国提供固定通信业务、移动通信业务等基础电信业务,以及互联网接入服务业务、信息服务业务等增值电信业务,於2009年底拥有约1.89亿固定电话用户、5,300多万有线宽带用户及约5,600万移动电话用户。本公司发行的H股及美国存托股份分别在香港联合交易所有限公司和纽约证券交易所挂牌上市。",-,138.77亿,HK,3172.55亿,15.6202,0.90,809.32亿,0.80,-,0.37%,-,-
537,城市e-Solutions,00557,HK,1.14,-,-,-,-,-,3.82亿,HK,11.13亿,-,2.56,3.82亿,11.78,酒店,0.04%,-,-
538,万国国际矿业,03939,HK,0.53,-,-,-,"    万国国际矿业集团有限公司在中国主营采矿、矿石选矿及销售精矿产品业务。铜精矿及铁精矿为我们的核心商品。目前,我们通过我们的全资附属公司拥有宜丰万国的全部股权,而宜丰万国拥有新庄矿。新庄矿的生产系统分为采矿系统及选矿系统。目前,新庄矿已获得江西省国土资源局颁发的采矿许可证,采矿有效期直至2032年4月。",-,6.00亿,HK,11.46亿,45.488,3.57,6.00亿,4.79,金属采矿及相关贸易,0.26%,-,-
539,中国电力新能源,00735,HK,7.73,-,-,-,"    中国电力新能源发展有限公司(「本公司」)是一家於百慕达注册成立之有限公司,其股份於香港联合交易所有限公司上市。本公司之总办事处设於香港。
    本公司之主要业务为投资控股。本公司之附属公司主要从事物业投资及发展、饼食、一般贸易、顾问业务及发电业务。",-,11.87亿,HK,57.08亿,12.6359,0.62,11.87亿,1.06,环保公用事业,0.03%,-,-
540,南方中华80,03137,HK,-,-,-,-,-,-,1140.00万,HK,3.32亿,-,-,1140.00万,-,-,0.01%,-,-
541,大健康国际,02211,HK,1.26,-,-,-,"    我们为中国东北地区领先的医药零售商及分销商之一。我们亦拥有中国东北地区最大的医药零售连锁网络(1),并为中国东北地区最大的民营医药分销商(2)。根据南方所的资料,於2012年,中国东北地区的医药销售额占中国医药市场销售总额约7.1%。",-,24.00亿,HK,4.68亿,-,0.15,24.00亿,0.13,-,0.48%,-,-
542,唐宫中国,01181,HK,1.27,-,-,-,-,-,4.25亿,HK,12.51亿,10.9762,2.31,4.25亿,0.86,食肆,0.03%,-,-
543,华融金控,00993,HK,0.54,-,-,-,"    华融国际金融控股有限公司(993)旗下金融业务,除作为旗舰的证券业务之外,其他还包括外汇、黄金、期货、及基金销售等,皆具数十年历史。天行联合证券有限公司,由历史同样接近40年的张氏证券有限公司及联合证券有限公司合并而成,经历过金融市场的无数起落仍能屹立至今,足以反映集团的稳健作风。",-,35.88亿,HK,107.30亿,19.2153,5.52,35.88亿,13.54,证券及经纪业,0.11%,-,-
544,南方MA国际,03149,HK,-,-,-,-,-,-,-,HK,-,-,-,-,-,-,-,-,-
545,中国烯谷集团,00063,HK,0.08,-,-,-,-,-,28.19亿,HK,13.81亿,-,5.97,28.19亿,111.11,综合地产,0.04%,-,-
546,大自然家居,02083,HK,1.57,-,-,-,"    按品牌木地板产品的零售销售额的市场占有率计算,我们是中国最大的木地板品牌。据 Frost & Sullivan 资料显示,二零零九年,我们「大自然」品牌产品占品牌木地板产品零售销售总额在中国的市场占有率为6.5%。我们结合自有工厂及独家获授权制造商生产品牌产品。",-,14.68亿,HK,14.83亿,34.0065,0.64,14.68亿,0.55,家居耐用消费品,0.02%,-,-
547,华润医药,03320,HK,5.99,-,-,-,"    华润医药集团有限公司是集医药、保健产品研发、制造和流通为一体的企业集团,是华润(集团)有限公司旗下战略业务单元。
    华润医药旗下拥有华润医药商业集团有限公司、华润三九医药股份有限公司、华润双鹤药业股份有限公司、东阿阿胶股份有限公司、华润紫竹药业有限公司等企业;其中华润三九(000999)、华润双鹤(600062)和东阿阿胶(000423)为国内A股上市公司。",-,62.85亿,HK,566.86亿,19.7796,1.51,62.85亿,0.35,-,0.05%,-,-
548,雅高控股,03313,HK,0.86,-,-,-,"    雅高是一家品牌大理石生产商,拥有中国最大的大理石矿山及分销网络。我们目前拥有及经营永丰矿。根据F&S报告,截至二零一三年九月三十日,永丰矿是中国最大的大理石矿山,截至二零一三年九月三十日的探明、控制及推断资源量为106.9百万立方米,而证实及概略储量则为44.2百万立方米。根据合资格人士报告,我们矿山的过往荒料回收率为46.7%,预期整个矿床的荒料回收率将达约45%,而根据F&S报告,行业平均回收率为15%。",-,19.11亿,HK,18.73亿,-,1.13,19.11亿,1.59,-,0.03%,-,-
549,兴达国际,01899,HK,4.02,-,-,-,"    集团主要业务为制造及分销子午轮胎的主要骨架原料,包括用以强化子午轮胎胎壁的钢帘线及将轮胎固定在轮圈上的胎圈钢丝。凭藉集团先进的生产技术、强大的研发能力及严谨的品质监控,集团成功於中国建立巩固的业务基础,是中国最大的子午轮胎钢帘线生产商之一。集团的客户包括国内十大子午轮胎生产商及全球著名轮胎生产商。兴达的总部及生产基地位於中国江苏省,总建筑面积约达567,000平方米。",-,14.68亿,HK,43.61亿,14.1551,0.74,14.68亿,0.71,汽车,0.75%,-,-
550,高力集团,01118,HK,1.82,-,-,-,-,-,5.62亿,HK,5.68亿,7.8098,0.55,5.62亿,0.26,-,0.06%,-,-
551,爱高集团,00328,HK,3.20,-,-,-,-,-,5.79亿,HK,11.76亿,2.3242,0.63,5.79亿,0.62,电子消费品,-,-,-
552,嘉华国际,00173,HK,8.57,-,-,-,"    嘉华国际集团有限公司 (「嘉华国际」;股份代号:0173) 於1987年。
    在香港上市,是嘉华集团旗下之房地产业务旗舰,物业涵盖精品住宅、甲级商厦、特色商舖、酒店及服务式公寓,分布於香港、中国内地及东南亚。
    嘉华国际锐意发展成为以大中华区为据点之大型综合房地产发展商及投资者,目前正以长三角及珠三角地区为发展据点,除香港业务基地以外,亦早在上海和广州建立稳固根基。",-,29.61亿,HK,149.22亿,4.6245,0.59,29.61亿,1.49,-,0.16%,-,-
553,F 三星恒期人汇,03134,HK,-,-,-,-,-,-,-,HK,2.07亿,-,-,-,-,-,-,-,-
554,中国人寿,02628,HK,12.01,-,-,-,"    中国人寿保险股份有限公司是国内最大的寿险公司,总部位於北京。作为《财富》世界500强和世界品牌500强企业——中国人寿保险(集团)公司的核心成员,公司以悠久的历史、雄厚的实力、专业领先的竞争优势及世界知名的品牌赢得了社会最广泛客户的信赖,始终占据国内保险市场领导者的地位,被誉为中国保险业的“中流砥柱”。",-,74.41亿,HK,7207.50亿,32.5563,2.12,282.65亿,9.03,保险,0.50%,-,-
555,香港信贷,01273,HK,1.16,-,-,-,-,-,4.15亿,HK,4.19亿,8.8939,0.87,4.15亿,4.17,-,0.61%,-,-
556,永恒策略,00764,HK,0.87,-,-,-,"    本公司於2000年2月在香港联交所有限公司上市。本集团主要从事发行电影、销售金融资产、物业投资。
    监於近年香港电影制作公司减少制作数量,本集团未能以合理价格取得高质素电影以供发行。因此,本集团已放缓其电影发行业务。
    本集团投资於香港上市证券。由於股票市场仍然相当波动,故集团於二零零七年下半年出售其全部金融资产。
    在2006年6月本集团收购位於北京市中心的一幢物业。该物业已改建为高级服务式公寓。",-,38.59亿,HK,7.83亿,-,0.23,38.59亿,3.99,赌场与赌博,0.30%,-,-
557,旭日企业,00393,HK,1.60,-,-,-,"    旭日企业於1996年9月,在香港联合交易所上市(股票编号0393)。1997年中,旭日企业被美国杜琼斯证券选为杜琼斯指数香港成份股;1998年中,旭日企业被选为恒生50中型股指数成份股;1999年11月,旭日企业更获《福布斯》「Forbes」杂志评为全球三百家优秀中小企业之一。同年,香港生产力促进局亦将旭日企业列入香港韬略榜上。",-,15.36亿,HK,15.36亿,17.5662,0.63,15.36亿,0.44,-,0.04%,-,-
558,华禧控股,01689,HK,0.89,-,-,-,"    本集团於二零一二年为广东省香烟相关包装材料市场(包括内衬纸、框架纸、接装纸、封签纸、香烟外盒及其他)的第四大生产商,占市场份额约7.4%。根据易普索报告,就总收益而言,广东省於二零一二年占中国整个香烟相关包装材料市场的市场份额约5.3%。",-,3.39亿,HK,10.14亿,22.4275,3.37,3.39亿,4.45,-,0.10%,-,-
559,第一太平,00142,HK,5.62,-,-,-,"    第一太平为一家建基於香港的投资及管理公司,业务位於亚洲。其业务以经营电讯、基建、消费性食品及天然资源为主。
    第一太平於香港上市,其股份亦透过美国预托证券方式在美国进行买卖。
    於二零一零年三月二十三日,第一太平於PLDT、MPIC、Indofood及Philex的经济权益分别为26.5%、55.6%、50.1%及31.4%。",-,43.12亿,HK,261.75亿,32.9757,1.08,43.12亿,0.49,-,0.06%,-,-
560,东方证券,03958,HK,7.28,-,-,-,"    东方证券股份有限公司(以下简称""公司"")是一家经中国证券监督管理委员会批准设立的综合类证券公司,其前身是于1998年3月9日开业的东方证券有限责任公司,总部设在上海,现有注册资本52. 82亿元,公司于2015年3月23日成功登陆上交所。",-,10.27亿,HK,445.65亿,16.887,0.98,62.15亿,3.19,-,0.06%,-,-
561,汉思能源,00554,HK,-0.01,-,-,-,"    汉思能源有限公司是一家在开曼群岛注册,于香港联合交易所主板上市的公司(股份代号: 0554),其主要经营业务是在中国境内提供石油、气体及液体化工産品之综合码头港口及仓储物流服务。目前,集团主要经营的资産包括:位于珠江三角洲中 心,华南地区最大的综合性石化産品公共保税仓 — 小虎石化库;在东莞市虎门镇沙田港区投资兴建大型油气化工码头及其配套设施项目—东洲石化库。",-,37.33亿,HK,8.21亿,-,48.86,37.33亿,3.31,石油/燃气设备及服务,-,-,-
562,罗欣药业,08058,HK,5.21,-,-,-,"    山东罗欣药业股份有限公司是原山东罗欣制药厂改制重组,由临沂罗欣医药有限公司控股,联合沈阳药科大学等共11家发起人共同发起设立的股份有限公司,是严格按照现代企业制度和国家GMP要求组建的制药企业,是国家级高新技术企业。公司经营范围:中西药品、医药原料药的研制、开发、生产、销售。公司建有冻干粉针剂、粉针剂、水针剂、固体制剂、头孢菌素类原料药、口服头孢系列产品等三十多条生产线,已全部通过国家GMP认证。",-,1.65亿,HK,102.05亿,24.0723,3.21,6.10亿,1.85,制药,0.28%,-,-
563,华夏中华八十,03180,HK,-,-,-,-,-,-,-,HK,-,-,-,-,-,-,-,-,-
564,广汽集团,02238,HK,7.60,-,-,-,"    广州汽车集团股份有限公司创立于2005年6月28日,由广州汽车集团有限公司整体变更成立,由广州汽车工业集团有限公司、万向集团公司、中国机械工业集团公司、广州钢铁企业集团有限公司、广州市长隆酒店有限公司作为共同发起人,以发起方式设立的大型国有控股股份制企业集团。 广汽集团主要的业务有面向国内外市场的汽车整车及零部件设计与制造,汽车销售与物流,汽车金融、保险及相关服务,具有独立完整的产、供、销及研发体系。",-,22.13亿,HK,814.41亿,11.7289,1.66,64.53亿,1.47,汽车,0.35%,-,-
565,瑞慈医疗,01526,HK,0.67,-,-,-,"    瑞慈医疗集团始于2002年,旗下涵盖综合医院、专科医院、体检、诊所等四大板块,彻底打通大医疗产业链,致力于提供全方位的健康管理服务。瑞慈诊所是综合私立医疗机构,分布于全国省会或二级城市。2015年,瑞慈在上海静安区开设了第一家高端诊所,与上海瑞铂体检中心共享物业及资源,开创了“体检加诊所”的医疗服务新模式。瑞慈诊所签约国内三甲医院著名专家,引进现代的管理模式,为客户提供高端诊疗服务。",-,15.92亿,HK,33.75亿,49.8473,3.19,15.92亿,3.02,-,0.05%,-,-
566,FL 二 三星国指,07228,HK,-,-,-,-,-,-,-,HK,-,-,-,-,-,-,-,-,-
567,成实外教育,01565,HK,0.92,-,-,-,"    我们是中国西南地区最大的学前教育至十二年级民办教育服务供应商。截至目前,我们已成立及经营五所学前教育至十二年级学校,即成都外国语学校、成都市实验外国语学校、成都市实验外国语学校(西区)、成都外国语学校附属小学及成都市金牛区成外附小幼稚园。按入学人数计算,我们在中国西南地区高度分散的民办基础教育行业位居前列。此外,我们经营一所大学,即四川外国语大学成都学院。",-,30.89亿,HK,161.85亿,48.4056,5.69,30.89亿,16.55,-,0.09%,-,-
568,红星美凯龙,01528,HK,13.41,-,-,-,"    自车建新先生1992年投身家具建材流通行业以来,红星美凯龙始终以建设温馨和谐家园、提升消费者居家生活品味为己任。红星美凯龙已在北京、上海、天津、南京、长沙、重庆、成都等全国115座城市开办了158家商场,成为当之无愧的中国家居流通业第一品牌。红星美凯龙成立至今,公司已从“渠道商”的角色转变为以搭建“商场平台”为核心,从店面租赁转为买地建商场,从最初一家地方家具专营店发展到如今的全国百城百MALL连锁规模。",-,10.63亿,HK,300.79亿,6.6819,0.62,36.24亿,2.84,-,0.03%,-,-
569,广南(集团),01203,HK,2.55,    本公司主要从事投资控股。本公司之附属公司主要从事制造及销售马口铁及相关产品、物业租赁、鲜活食品代理与经销及食品贸易。,-,-,"    广南(集团)有限公司於1982年3月20日成立,并於1994年12月9日在香港联合交易所有限公司挂牌上市。
    广南为一间投资控股公司,附属公司主要从事制造及销售马口铁及相关产品、物业租赁、鲜活食品代理与经销及食品贸易。本集团主要在香港及中国内地经营业务。
    广南的控股公司为粤海控股集团有限公司,於二零一零年六月三十日持有本公司约59.30%权益。目前,粤海控股集团有限公司是广东省在境外规模最大的综合性企业。",-,9.08亿,HK,9.62亿,8.8681,0.42,9.08亿,0.42,金属采矿及相关贸易,0.03%,-,-
570,FL 二南方 N50,07202,HK,-,-,-,-,-,-,-,HK,-,-,-,-,-,-,-,-,-
571,格林国际控股,02700,HK,0.11,-,-,-,-,-,19.72亿,HK,4.14亿,-,1.92,19.72亿,5.34,玩具,0.02%,-,-
572,REF HOLDINGS,08177,HK,0.41,-,-,-,"    纬丰财经印刷有限公司是一间备受信赖的财经印刷服务供应商,致力为市场提供各种高质量财经印刷产品及服务,专门处理首次公开售股章程、财务报告、通函、公告及其他财经文件。
    纬丰旗下专业团队由资深从业员组成,具备丰富业内经验,在服务本地以至国际企业客户方面创下骄人往绩。",-,2.56亿,HK,5.50亿,12.009,5.20,2.56亿,2.77,-,0.04%,-,-
573,F三星原油期,03175,HK,-,-,-,-,-,-,-,HK,-,-,-,-,-,-,-,-,-
574,华融投资股份,02277,HK,0.31,-,-,-,"    我们主要在香港从事地基及下层结构建筑业务。我们的地基及下层结构建筑服务主要 包括住宅、商业及基础设施项目的坭井及装顶工程、桩帽建筑及下层结构建筑。我们的服务彼此相互关联,而我们的项目根据客户的需求及要求可能包括一类或多类服务。 我们主要以分包商身份在香港从事建筑项目并亦作为总承建商承接建筑项目。",-,18.16亿,HK,19.98亿,9.5277,3.55,18.16亿,1.54,-,0.01%,-,-
575,环能国际,01102,HK,0.06,-,-,-,"    环能国际控股有限公司 (「环能国际」或 「公司」) 是一家在香港创业板上市、迅速成长的上游石油及天然气开发公司。凭藉拥有国际级管理团队,我们透过勘探、开发及生产能源资源,致力为股东创造价值,并同时利用领先的勘探开发和提高采收率等高新技术,减低温室气体排放。",-,75.40亿,HK,8.60亿,-,1.98,75.40亿,4.61,石油/燃气勘探,0.06%,-,-
576,亚洲联网科技,00679,HK,2.39,-,-,-,"    亚洲联网科技有限公司,从我们的集团名称,便可得知我们建基於亚洲,为我们世界性的客户提供先进科技。我们是一间投资控股公司,持有不同类型的投资,其中以制造工业设备方面的业务尤为突出。我们的使命是把电镀技术应用在不同的行业当中。这一个策略也可以帮助我们平均化了个别业务自身的周期性问题和影响,从而为我们的股东保持一个更稳定的营业额和利润。",-,4.26亿,HK,4.73亿,0.61,0.46,4.26亿,0.76,工业机械及设备,0.11%,-,-
577,中国数码信息,00250,HK,0.09,-,-,-,"    中国数码信息有限公司是香港联合交易所上市公司(编号:0250),致力于用先进的技术打造信息化的平台服务于中国企业和大众群体。公司总部位于北京,在全国70多个城市开设了120余家直属分支机构,员工逾7,000人。",-,199.15亿,HK,21.91亿,43.3602,1.23,199.15亿,2.22,软件及资讯科技顾问,0.03%,-,-
578,新世界发展,00017,HK,19.21,-,-,-,"    新世界发展有限公司 (「新世界发展」或「本集团」;香港股份代号:17)为建基於香港的大型综合企业集团。本集团於1970年成立,并自1972年起在香港上市,现为香港恒生指数成份股之一,资产总值共2,291亿港元。
    本集团以地产业务为基石,经过40年的发展,经营范围扩展至於香港、澳门及中国内地的四大核心业务,包括物业及酒店、基建、服务和百货。本集团并参与直接投资及多项其他业务。",-,98.03亿,HK,949.89亿,10.8476,0.50,98.03亿,1.64,综合地产,0.12%,-,-
579,南方中创业板-R,83147,HK,-,-,-,-,-,-,-,HK,2.09亿,-,-,-,-,-,-,-,-
580,中国生命集团,08296,HK,0.20,-,-,-,-,-,7.43亿,HK,8167.50万,-,0.54,7.43亿,1.18,殡仪服务,0.02%,-,-
581,中国香精香料,03318,HK,3.67,-,-,-,"    中国香精香料有限公司,是国内最早从事香精、香料生产经营的公司。透过不断推出崭新的香精及香料产品,致力扩大市场占有率,同时带领业界潮流,向客户提供优质完善的服务,令客户提升产能,满足食品、餐饮及消费品市场的需求从而开拓亚洲市场以发掘海外市场的商机。",-,6.75亿,HK,14.85亿,14.58,0.60,6.75亿,1.33,综合化工产品,0.40%,-,-
582,西王特钢,01266,HK,2.24,-,-,-,"    西王特钢有限公司为山东省的以电弧炉为基础的集成钢铁制造商。我们的产品包括主要用於建筑及基建项目的普通钢产品,以及用於包括生产无缝钢管、轴承、齿轮、机械部件及焊接用钢盘条等多种应用的特种钢产品。",-,20.07亿,HK,22.27亿,5.9978,0.50,20.07亿,0.26,金属采矿及相关贸易,0.03%,-,-
583,丽丰控股,01125,HK,0.80,-,-,-,"    丽丰控股有限公司(「丽丰」),是丽新集团成员之一,於一九九七年十一月在香港联合交易所有限公司上市。丽丰乃丽新集团在中国内地(「中国」)从事物业发展及物业投资之旗舰。    
    丽丰之主要业务包括在中国的大城市内一些交通便捷而基建设施完善的黄金地段上投资及发展酒店式服务公寓、住宅、办公楼及商用物业。",-,162.85亿,HK,35.99亿,4.1014,0.28,162.85亿,3.23,中国房地产,0.01%,-,-
584,泓富产业信托,00808,HK,4.56,-,-,-,-,-,14.15亿,HK,45.99亿,-,0.71,14.15亿,-,房地产投资信托基金,0.19%,-,-
585,远大医药,00512,HK,0.76,-,-,-,"    本集团致力透过自身之业务增长及收购成为中国最具规模之药业及健康产品生产商之一。已於二零零八年七月完成收购武汉远大制药集团有限公司(「武汉远大」)及其附属公司,以及出售BrightStrong Profits Limited(「Bright Strong」)及其附属公司。",-,22.37亿,HK,49.21亿,18.2024,2.89,22.37亿,1.29,制药,0.14%,-,-
586,德昌电机控股,00179,HK,17.62,-,-,-,"    德昌电机是驱动产品、控制系统和软性连接器的国际领先制造商。我们为许多行业提供服务,包括汽车产品、家用设备、家用电器、电动工具、办公用品、工业设备、日用消费品、医疗器械以及基础设施自动化。
    德昌电机成立于1959年,其产品被销往30多个国家,应用于逾百种不同的产品。德昌电机在香港、中国大陆、瑞士、德国、意大利英国以及美国都有其产品研发设计中心。德昌电机现于二十三个国家雇用超过四万名员工及外包工人。",-,8.79亿,HK,234.65亿,12.5766,1.52,8.79亿,1.07,-,0.07%,-,-
587,利宝阁集团,08102,HK,0.15,-,-,-,"    本集团为一家以提供粤菜佳肴、中式筵席及餐饮服务而为顾客津津乐道的中式餐饮集团。於最後实际可行日期,本集团於香港拥有四间提供全套服务的酒楼,及於 中国深圳拥有一间提供全套服务的酒楼,藉此以「利宝阁」品牌提供粤菜。本集团亦於二零一五年十月底以新品牌「京香阁」於香港开设一间京川沪菜酒楼。本集团所有酒楼均经策略性选址而座落於地标购物商场或黄金地段的商业综合大厦内。",-,8.00亿,HK,42.48亿,379.9789,35.76,8.00亿,14.16,半导体,0.04%,-,-
588,TAI PING CARPET,00146,HK,3.22,-,-,-,-,-,2.12亿,HK,4.75亿,-,0.70,2.12亿,0.35,家居耐用消费品,0.04%,-,-
589,FL二未来国指,07230,HK,-,-,-,-,-,-,-,HK,-,-,-,-,-,-,-,-,-
590,中远海运港口,01199,HK,11.60,-,-,-,"    中远太平洋有限公司的最终母公司是中国远洋运输(集团)总公司(「中远集团」)。中远集团是中国最大和世界第二大的航运企业。
    回顾过往十多年的发展历程,中远太平洋表现卓越,至今已发展成为全球第五大的集装箱码头经营商,以及全球第二大集装箱租赁公司,并持有世界最大的集装箱制造商-中国国际海运集装箱(集团)股份有限公司21.80%权益。",-,30.16亿,HK,268.73亿,14.0117,0.77,30.16亿,6.52,海运,0.16%,-,-
591,香港中旅,00308,HK,2.69,-,-,-,"    中国港中旅集团公司是香港中旅(集团)有限公司(以下简称:港中旅集团)的母公司,港中旅集团创立於1928年4月,是香港四大驻港中资企业之一。经过几代人的开拓经营,现已发展成为以旅游为主业,以实业投资(钢铁)、房地产、物流贸易为支柱产业的海内外知名大型企业集团,是中央直接管理的国有重要骨干企业。截止2010年底,集团资产总额已突破550亿元人民币,主营收入近500亿元,在香港和内地所属企业共有员工4.5万人。",-,54.47亿,HK,121.47亿,34.1927,0.83,54.47亿,2.78,综合旅游、酒店及食肆,0.07%,-,-
592,利民实业,00229,HK,1.19,-,-,-,"    利民实业有限公司经过近四十年的发展,在家庭电器制造方面拥有丰富的经验和卓越的技术。本集团为欧美及亚洲几十家名牌公司制造了许多优质的产品,形成了自己独特的企业文化和企业精神,而且依靠这种企业文化和传统的企业精神,使我们能够在强手如林的国际市场继往开来,永不停止,开拓前进。",-,4.81亿,HK,5.34亿,10.4597,0.93,4.81亿,0.52,-,-,-,-
593,康华医疗,03689,HK,3.86,-,-,-,"    我们经营的康华医院为中国最大的私立营利性综合医院。,康华医院亦是中国首家取得三级甲等评级(中国的医院可获得的最高评级)的私立营利性综合医院。康华医院向各类病人(特别是疑难杂症患者)提供连续医疗服务。",-,8439.40万,HK,38.25亿,24.2531,2.96,3.34亿,2.70,-,0.24%,-,-
594,百宏实业,02299,HK,2.72,-,-,-,"    百宏实业控股有限公司(「百宏」或「公司」)于2003年成立,是中国领先涤纶长丝开发商及生产商。公司主要产品为拉伸变形丝、全牵伸丝、及预取向丝,而大部分均为差异化,具备特殊物理特性与功能,且被广泛应用于各种消费品,包括服装、鞋类及家纺所用的优质布料及纺织品的生产需要。",-,21.50亿,HK,122.13亿,34.9296,2.09,21.50亿,1.78,纺织及成衣,-,-,-
595,中国汇融,01290,HK,1.74,-,-,-,"    我们是就经批准注册资本而言中国领先的短期抵押融资服务供应商。我们专门向我们的客户提供以质押物作抵押的短期贷款,亦称为「典当贷款」。我们於苏州市及苏州市政府管治的四个县级市(或苏州大市)经营。江苏大市为江苏省经济最发达的地区,亦为中国经济发展最蓬勃的省份之一。",-,10.25亿,HK,10.66亿,25.6589,0.60,10.25亿,3.43,-,-,-,-
596,NIRAKU,01245,HK,1.60,-,-,-,"    我们於二零一三年是日本第四大日式弹珠机游戏馆运营商(按总投入额1计)。日式弹珠机行业高度分散,於二零一三年十二月三十一日有逾3,800家运营商经营超过11,893间游戏馆。自我们於一九五零年开设首间日式弹珠机游戏馆以来,我们一直集中於日本本州岛东北拓展业务,覆盖日本十个县级行政区。於二零一三年十二月三十一日,这十个县级行政区的总人口约为47.4百万,占日本总人口的37.7%。",-,11.96亿,HK,13.51亿,39.519,0.71,11.96亿,0.65,-,0.14%,-,-
597,理文化工,00746,HK,2.84,-,-,-,-,-,8.25亿,HK,27.97亿,12.8599,1.19,8.25亿,1.46,综合化工产品,0.01%,-,-
598,中国东方集团,00581,HK,2.91,-,-,-,"    中国东方为中国最高效的钢铁生产商之一。於二零零七年十二月,世界最大钢铁综合企业安赛乐米塔尔(ArcelorMittal)成为该公司策略合作夥伴兼主要股东。该集团产品主要在中国内地市场销售,主要客户群位於中国北部,客户为下游钢铁制造商,使用钢坯和带钢加工生产并主要用於建筑业以及机械制造工业的其他下游钢制品。此外,中国东方亦从事生产下游产品,包括其处於行业领先地位的H型钢材以及其他下游产品如冷轧板与镀锌板等。",-,35.18亿,HK,79.85亿,9.9904,0.78,35.18亿,0.23,金属采矿及相关贸易,0.04%,-,-
599,招商局港口,00144,HK,25.10,-,-,-,"    招商局创立於1872年12月26日,1873年1月17日在上海正式开业,是中国民族工商业的先驱,被誉为“中国民族企业百年历程缩影”。招商局现为国家驻港大型企业集团、香港四大中资企业之一,总部设於香港。主要经营活动分布於香港、内地、东南亚等地区。",-,26.26亿,HK,590.79亿,10.7534,0.90,26.26亿,6.80,海港与服务,0.10%,-,-
600,绿心集团,00094,HK,0.62,-,-,-,"    我们在世界各地扩展林业资产,透过采伐原木、加工木材,以及从国外市场向中国市场营销及销售原木和木材产品,协助中国解决木材供应短缺的问题。绿森集团是一家负责任并以可持续业务模式运作的林业公司,我们致力为全体员工、顾客,以及股东创造最大的价值。我们於香港交易所上市,股票代号为 00094。",-,14.86亿,HK,17.09亿,193.9733,1.85,14.86亿,3.10,-,0.01%,-,-
