,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
1792,SAP SE,SAP,US,24.32,http://www.sap.com,0.55%,31.01/32.94,"SAP创立于1972年的德国，是全球商业软件市场的领导厂商，提供优质的应用程序和服务，在全球120多个国家拥有109,000个企业客户，其中包括财富500强80%以上的企业，并在包括欧洲、美洲、中东及亚太地区的50个国家雇用52,921名员工。公司总部位于德国沃尔多夫。SAP的核心业务是销售其研发的商业软件解决方案及其服务的用户许可证。",8.68,-,49-62-27747474,NYSE,-,1299.02亿,12.29亿,应用软件,0.07%,3.47%,4.37
1793,RELX PLC,RELX,US,1.46,-,0.79%,29.52/7.29,-,0.52,-,-,NYSE,-,229.95亿,10.73亿,-,0.01%,2.00%,14.69
1794,NUVEEN MINN MUN INCOME FD,NMS,US,-,-,0.43%,-/-,-,-,-,-,NYSE,-,9012.50万,557.50万,-,0.10%,-,-
1795,黑岩综合产业,MQY,US,-,-,0.65%,-/15.54,-,-,-,-,NYSE,-,4.72亿,3068.90万,封闭式基金/债务,0.10%,10.50%,0.93
1796,美国科技ETF-iShares,IYW,US,-,-,0.58%,-/-,"The investment seeks to track the investment results of the Dow Jones U.S. Technology Index. The fund generally invests at least 90% of its assets in securities of the underlying index and in depositary receipts representing securities of the underlying index. The underlying index measures the performance of the technology sector of the U.S. equity market and may include large-, mid- or small-capitalization companies, and components primarily include technology companies. The fund is non-diversified.
",-,-,-,NYSE,-,35.63亿,2505.00万,-,0.42%,-,-
1797,美国高息市政债ETF-VanEck Vectors,HYD,US,-,https://www.vaneck.com/funds/hyd.aspx,0.16%,-/298.70,"The VanEck Vectors™ High-Yield Municipal Index ETF (HYD®) seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the Bloomberg Barclays Municipal Custom High Yield Composite Index (LMEHTR), which is intended to track the overall performance of the U.S. dollar denominated high yield long-term tax-exempt bond market. HYD is expected to pay monthly dividends. ",-,-,-,NYSE,-,21.24亿,6870.00万,-,0.35%,-,-
1798,HSBC HLDGS PLC,HSEB,US,-,-,0.18%,-/34.65,-,-,-,-,NYSE,-,36.77亿,1.36亿,-,0.07%,13.09%,2.84
1799,"HC2 Holdings, Inc.",HCHC,US,1.05,-,1.67%,-/-,-,6.31,-,-,NYSE,-,2.27亿,4215.60万,-,0.28%,0.04%,5.13
1800,bluebird bio,BLUE,US,19.92,http://www.bluebirdbio.com,3.73%,-/-,bluebird是一家临床阶段的生物技术公司，该公司利用基因治疗方法治疗严重遗传和罕见疾病来改变患者的生命。,8.80,-,1-339-4999300,NASDAQ,-,32.90亿,4095.00万,-,1.14%,100.00%,4.00
1801,BLACK HILLS CORP,BKHU,US,30.21,-,0.86%,-/-,-,-,-,-,NYSE,-,3.88亿,520.00万,-,0.12%,-,2.47
1802,阿尼哥医疗,ANIK,US,15.70,-,1.51%,16.66/21.59,-,8.83,-,-,NASDAQ,-,6.80亿,1465.50万,生物技术,0.30%,76.54%,2.96
1803,Aegon优先股H,AEH,US,-,-,0.19%,-/101.16,-,-,-,-,NYSE,-,10.42亿,4000.00万,-,0.05%,0.02%,1.75
1804,Vornado Realty Trust,VNO,US,30.65,http://www.vno.com/index.phtml,0.60%,23.27/18.02,Vornado Realty Trust 是一家房产信托公司。,4.42,-,-,NYSE,-,176.43亿,1.89亿,-,0.32%,91.41%,3.04
1805,SPDR S&P 600 Small Cap ETF,SLY,US,-,-,1.09%,-/4.85,-,-,-,-,NYSE,-,7.33亿,610.00万,-,0.39%,26.00%,-
1806,永明金融,SLF,US,24.59,http://www.sunlife.com,1.08%,11.14/11.01,加拿大永明金融(SLF)是当今世界最大的保险和资产管理公司之一，主要为个人及企业客户提供各类理财及保障的产品和服务。2003年与中国光大集团联合成立了光大永明人寿公司。,2.67,-,416-979-9966,NYSE,"Sun Life Centre 150 King Street West Toronto, ON M5H 1J9 Canada",204.66亿,6.14亿,人寿保险,0.07%,45.93%,1.36
1807,ETFS Physical Silver,SIVR,US,-,-,1.49%,-/7.25,-,-,-,-,NYSE,-,3.51亿,2055.00万,-,0.35%,-,-
1808,REXFORD INDL RLTY INC,REXR,US,12.84,-,1.44%,19.32/65.83,-,2.32,-,-,NYSE,-,17.56亿,6670.30万,-,0.74%,95.00%,2.05
1809,快而精医药,QGEN,US,10.67,-,0.67%,20.03/95.91,-,3.40,-,-,NASDAQ,-,73.66亿,2.26亿,生物技术,0.21%,44.03%,3.07
1810,Perficient,PRFT,US,10.61,-,1.92%,14.78/31.98,-,4.34,-,-,NASDAQ,-,5.86亿,3524.80万,商业软件及服务,0.42%,80.01%,1.59
1811,PICO控股,PICO,US,14.38,-,2.68%,-/26.03,-,4.85,-,-,NASDAQ,-,3.79亿,2308.10万,健康与意外伤害保险,0.11%,83.80%,1.14
1812,PERFORMANCE FOOD GROUP CO COM USD0.01,PFGC,US,8.78,-,2.03%,-/33.45,-,2.06,-,-,NYSE,-,29.15亿,1.04亿,-,1.26%,80.00%,3.20
1813,Old Line Bancshares,OLBK,US,14.17,-,2.52%,14.27/19.99,-,2.42,-,-,NASDAQ,-,3.00亿,1095.00万,地区性银行/中大西洋,0.12%,51.99%,1.93
1814,国民油井华高,NOV,US,36.63,http://www.nov.com/,1.69%,12.33/-,"国民油井华高成立于1862年美国德州,建立至今公司致力于为能源业提供先进,高质,经济且兼顾环保的解决方案。全球范围内已拥有550处制造及服务中心,并以出色业绩居世界油井机械及其供应管理的领先地位。国民油井华高的业务集中在设计、制造和销售海陆钻井的重要机械部件及整体方案。经营范围从制造完整的陆上钻机和井架,业内最大型的吊装设备,各类井下钻机马达到特制钻采工具,并且在世界各主要钻采地附近的服务网络是客户的供应链。",7.35,-,-,NYSE,-,132.82亿,3.80亿,油气/设备与服务,0.58%,86.41%,0.96
1815,墨西哥封基-MXE,MXE,US,-,-,0.19%,-/-,-,-,-,-,NYSE,-,8104.65万,737.50万,封闭式基金/外国,0.01%,38.52%,1.04
1816,Mueller Water Products,MWA,US,2.79,-,1.06%,20.11/31.36,-,1.26,-,-,NYSE,-,18.01亿,1.60亿,工业设备与配件,0.11%,82.80%,4.05
1817,万宝盛华人力资源,MAN,US,36.38,-,0.91%,14.45/16.30,-,3.37,-,-,NYSE,-,69.74亿,6707.90万,人事和外包服务,0.82%,86.99%,2.86
1818,库力索法半导体,KLIC,US,12.04,-,1.57%,16.37/17.71,-,1.72,-,-,NASDAQ,-,15.34亿,7098.60万,半导体设备及材料,0.68%,84.90%,1.79
1819,单片机微系统,INVE,US,0.45,-,5.99%,-/-,-,1.63,-,-,NASDAQ,-,7512.56万,1363.40万,-,0.14%,28.84%,12.24
1820,INC Research Holdings,INCR,US,6.20,http://www.incresearch.com,1.30%,25.23/26.76,"INC Research Holdings is a leading global Contract Research Organization, or CRO, based on revenues, and are exclusively focused on Phase I to Phase IV clinical development services for the biopharmaceutical and medical device industries. We provide our customers highly differentiated therapeutic alignment and expertise, with a particular strength in Central Nervous System, or CNS, oncology and other complex diseases. We consistently and predictably deliver clinical development services in a complex environment and offer a proprietary, operational approach to clinical trials through our Trusted Process® methodology. Our service offerings focus on optimizing the development of, and therefore, the commercial potential for, our customers' new biopharmaceutical compounds, enhancing returns on their research and development, or R&D, investments and reducing their overhead by offering an attractive variable cost alternative to fixed cost, in-house resources.",1.39,S1/F1,-,NASDAQ,-,30.41亿,5410.40万,生物技术,1.25%,112.00%,9.06
1821,洲际酒店集团,IHG,US,-4.07,http://www.ihgplc.com,0.54%,25.40/9.06,洲际酒店集团（IHG）是世界上最具全球化并拥有客房数最多的酒店集团，总部位于英国。该集团拥有多个闻名遐尔的酒店品牌，其中包括洲际酒店及度假村、皇冠酒店及度假村、假日酒店及度假村、快捷假日酒店等，并且拥有世界最大的酒店忠诚客户计划 -- 优悦会。,4.34,-,-,NYSE,-,106.03亿,1.90亿,旅店,0.04%,5.11%,-13.69
1822,Guggenheim S&P High Income Infrastructure ETF,GHII,US,-,-,0.55%,-/5.12,-,-,-,-,NYSE,-,3465.60万,120.00万,-,0.80%,-,-
1823,欧元做多-CurrencyShares,FXE,US,-,-,0.65%,-/-,-,-,-,-,NYSE,-,2.72亿,255.00万,-,49.56%,12.38%,-
1824,Fortress Transportation and Infrastructure Investors LLC,FTAI,US,13.59,-,0.94%,-/-,-,0.67,-,-,NYSE,-,12.05亿,7576.30万,-,0.19%,-,1.17
1825,Friedman Industries,FRD,US,8.93,-,2.96%,-/-,"Friedman Industries, Incorporated is engaged in steel processing, pipe manufacturing and processing, and steel and pipe distribution. The Company has two product groups: coil and tubular products. The Company purchases hot-rolled steel coils, processes the coils into flat, finished sheet and plate and sells these products on a wholesale. The Company also processes customer-owned coils on a fee basis. The steel coils are processed through cut-to-length lines, which level the steel and cut it to prescribed lengths. In addition, the Company operates steel temper mills, which improve the flatness and surface qualities of hot-rolled steel.",0.39,-,-,AMEX,-,3785.10万,700.90万,钢铁冶炼,0.30%,32.51%,0.62
1826,第一银行股份,FBMS,US,17.43,-,1.24%,10.30/17.20,-,3.21,-,-,NASDAQ,-,2.58亿,914.40万,地区性银行/东南部,0.11%,41.00%,1.62
1827,日本小盘股ETF汇率对冲-WisdomTree,DXJS,US,-,-,0.72%,-/-,-,-,-,-,NASDAQ,-,1.20亿,310.00万,-,0.57%,-,-
1828,DST系统,DST,US,38.98,-,1.38%,17.23/10.10,"Founded in 1969 as a division of Kansas City Southern Industries, DST was 
established to develop an automated recordkeeping system for the mutual fund 
industry. DST has supported the industry’s continued growth and is the largest 
provider of third-party shareholder recordkeeping services in the United States today. 

Headquartered in Kansas City, Missouri, DST is a publicly traded company on the New York Stock Exchange (Symbol: DST) that employs approximately 11,000 associates, both domestically and internationally.",2.00,-,-,NYSE,-,36.92亿,3088.20万,信息传递服务,0.43%,54.39%,3.07
1829,梭子鱼网络,CUDA,US,0.12,-,2.39%,125.52/119.05,"梭子鱼网络 (Barracuda Networks , Inc.，以下简称“梭子鱼”) 2003年成立于美国加州坎贝尔，2004年正式进入中国市场，目前，全球拥有1,100名员工。
梭子鱼网络秉承“复杂IT简单化”理念，为全球各行业组织提供：性能卓越，简单易用，高效稳定的安全与存储解决方案。梭子鱼全系列产品家族主要包括三大领域：1）网络安全，2）存储备份，3）应用优化。梭子鱼致力于在“安全与存储”领域为用户提供：行业领先，高满意度，高价值，定制化IT解决方案。",1.63,-,-,NYSE,-,11.97亿,5292.50万,安全软件与服务,0.60%,56.00%,188.50
1830,阿里巴巴,BABA,US,15.99,http://www.alibabagroup.com,2.27%,29.57/62.09,阿里巴巴集团经营多元化的互联网业务，致力为全球所有人创造便捷的交易渠道。自成立以来，阿里巴巴集团建立了领先的消费者电子商务、网上支付、B2B网上交易市场及云计算业务，近几年更积极开拓无线应用、手机操作系统和互联网电视等领域。集团以促进一个开放、协同、繁荣的电子商务生态系统为目标，旨在对消费者、商家以及经济发展做出贡献。【该公司每股收益为最近一财年，非TTM】,13.06,S1/F1,-,NYSE,-,3067.72亿,24.95亿,中国电子商务,0.56%,23.00%,7.69
1831,Varex Imaging Corporation Common Stock,VREX,US,9.15,-,2.03%,-/-,-,7.72,-,-,NASDAQ,-,12.39亿,3756.10万,-,0.46%,-,3.61
1832,信息科技ETF-Vanguard,VGT,US,-,-,0.57%,-/4.27,-,-,-,-,NYSE,-,129.98亿,9091.00万,-,0.47%,49.00%,-
1833,Extended Stay America,STAY,US,4.08,-,1.28%,24.94/43.76,"Extended Stay America, Inc. operates a hotel in Spartanburg, South Carolina. It offers various rooms and luxury accommodations; and meeting and event, dining, and other facilities.",0.60,-,-,NYSE,-,34.82亿,1.94亿,旅店,0.71%,98.00%,4.40
1834,"Reinsurance Group of America, Incorporated",RZB,US,-,-,0.87%,-/-,-,-,-,-,NYSE,-,4.62亿,1600.00万,-,0.17%,-,-
1835,纳斯达克100指数,QQQ,US,-,-,0.46%,-/4.69,"QQQ，由PowerShares旗下的追踪纳斯达克100指数ETF，该ETF价格与纳斯达克100指数波动方向相同，波动幅度与纳斯达克100指数相同，即纳斯达克100指数上涨1%对应该ETF指数上涨约1%。
更多资料可查询：http://www.etf.com/QQQ",-,-,-,NASDAQ,-,496.30亿,3.57亿,行业指数,4.91%,35.00%,-
1836,Pacific Special Acquisition Corp,PAACW,US,-,-,-,-/-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
1837,NORBORD INC COM NPV,OSB,US,8.11,-,1.95%,-/11.78,-,13.75,-,-,NYSE,-,24.75亿,8610.00万,-,0.01%,-,3.54
1838,纽星能源,NS,US,16.77,-,1.41%,24.20/39.43,-,7.63,-,-,NYSE,-,43.65亿,9303.10万,油气/管道运输,0.19%,55.15%,2.80
1839,纽文市政收益基金,NMI,US,-,-,0.15%,-/22.15,-,-,-,-,NYSE,-,9949.69万,830.60万,封闭式基金/债务,0.11%,3.15%,1.04
1840,美第奇新星生物技术,MNOV,US,0.95,-,3.72%,-/-,-,52.51,-,-,NASDAQ,-,1.95亿,3454.00万,-,0.07%,14.33%,5.95
1841,SPDR Barclays Long Term Corporate Bd ETF,LWC,US,-,-,0.97%,-/31.15,-,-,-,-,NYSE,-,2.35亿,590.00万,-,0.60%,-,-
1842,英特尔,INTC,US,14.19,http://www.intel.com,1.20%,14.05/17.00,英特尔(INTC)成立于1968年，是全球最大的半导体芯片制造商，具有41年产品创新和市场领导的历史。1971年，英特尔推出了全球第一个微处理器。微处理器所带来的计算机和互联网革命，改变了整个世界。,3.73,-,-,NASDAQ,-,1694.39亿,47.25亿,宽线/半导体,0.35%,62.63%,2.53
1843,iShares Core Long-Term USD Bond,ILTB,US,-,-,0.45%,-/-,-,-,-,-,NYSE,-,4.68亿,745.00万,-,0.06%,-,-
1844,投资级债-利率对冲-ProShares,IGHG,US,-,-,0.63%,-/-,-,-,-,-,AMEX,-,2.90亿,-,-,-,-,-
1845,Peritus高收益债券ETF-AdvisorShares,HYLD,US,-,-,0.67%,-/-,-,-,-,-,NYSE,-,1.73亿,480.00万,-,0.38%,-,-
1846,全球价值策略ETF-Cambria,GVAL,US,-,-,0.51%,-/-,-,-,-,-,NYSE,-,1.18亿,505.00万,-,0.77%,-,-
1847,GAMCO GLOBAL GOLD NAT RES &,GGN-B,US,-,-,0.15%,-/-,-,-,-,-,AMEX,-,8483.59万,353.80万,-,0.08%,-,-
1848,FRANKLIN TEMPLETON LTD DUR I,FTF,US,-,-,0.42%,-/10.85,-,-,-,-,AMEX,-,3.17亿,2659.30万,-,0.70%,25.31%,0.91
1849,Freeport McMoRan,FCX,US,4.37,http://www.fcx.com,2.11%,18.85/23.20,"Freeport-McMoRan Copper & Gold Inc 是世界上成本最低的铜生产商和世界上最大的黄金生产商。

2007年03月16日，该公司以价值259亿美元现金及股票收购对手Phelps Dodge Corp.，造就了世界上最大的上市铜生产商。",2.41,-,-,NYSE,-,171.16亿,14.47亿,铜,0.80%,76.92%,2.72
1850,CONTROL4 CORP,CTRL,US,-,-,-,-,-,-,-,-,NASDAQ,-,-,-,-,-,-,-
1851,CORENERGY INFRASTRUCTURE TR,CORR,US,29.28,-,0.66%,23.83/14.65,-,7.96,-,-,NYSE,-,4.36亿,1189.40万,-,0.97%,58.00%,1.25
1852,CIMPRESS N.V,CMPR,US,2.71,-,2.74%,20.69/-,-,36.89,-,-,NASDAQ,-,27.28亿,3114.50万,-,0.51%,89.00%,32.32
1853,"CommerceHub, Inc. Series C Common Stock",CHUBK,US,0.85,-,1.85%,-/-,-,2.34,-,-,NASDAQ,-,4.99亿,2884.20万,-,0.22%,-,20.35
1854,CHS INC,CHSCO,US,-,-,0.79%,-/-,-,-,-,-,NASDAQ,-,6.04亿,2076.50万,-,0.09%,-,-
1855,建设美利坚爱国债-PowerShares,BAB,US,-,-,0.30%,-/94.90,-,-,-,-,NYSE,-,9.52亿,3190.00万,-,0.66%,-,-
1856,波音,BA,US,0.16,http://www.boeing.com,0.87%,17.35/33.67,"波音公司是世界上最大的民用和军用飞机制造商。波音公司的总部位于芝加哥，在美国境内及全球70个国家共有员工159,000多名。波音公司下设两个业务部门：波音民用飞机集团和波音防务、空间与安全集团。",4.06,-,312-544-2000,NYSE,-,1132.44亿,6.17亿,航空/国防-产品及服务,0.34%,72.17%,1146.81
1857,"ANTHEM, INC.",ANTM,US,98.43,-,1.26%,13.85/17.12,-,5.05,-,-,NYSE,-,467.70亿,2.65亿,-,0.65%,61.00%,1.81
1858,Anworth Mortgage Asset,ANH,US,6.13,-,0.86%,13.37/11.00,-,3.92,-,-,NYSE,-,5.58亿,9563.20万,抵押投资,0.57%,61.32%,0.96
1859,Angies List,ANGI,US,0.16,http://www.angieslist.com/,2.72%,-/-,"消费者点评网站Angie's List创立于1995年，目前在美国175个本地市场提供收费服务，帮助会员搜寻房屋修缮、医疗保健等服务提供商，服务商接受消费者实名评分及点评，同时也可以在网站搜需目标客户。目前Angie's List付费会员量超过100万人。截至今年9月30日，Angie's List累计亏损达到1.606亿美元。

2011年11月17日，Angie's List在纳斯达克上市，IPO发行行8,793,408股，发行价13美元，融资1.14亿美元。美银美林为主承销商。",4.19,S1/F1,-,NASDAQ,-,6.83亿,5986.70万,互联网信息提供商,1.53%,80.00%,71.31
1860,Xperi Corporation,XPER,US,-,-,3.01%,-/56.43,-,-,-,-,NASDAQ,-,15.62亿,4943.70万,-,0.51%,-,3.43
1861,全球林木ETF-iShares,WOOD,US,-,http://cn.ishares.com/,0.85%,-/-,iShares 安硕隶属於贝莱德，iShares 安硕为全球最大ETF供应商，拥有全球ETF 市场占有率44.1%1。,-,-,-,NASDAQ,-,2.56亿,426.00万,信息检索服务,0.45%,-,-
1862,Western Refining,WNR,US,15.28,http://www.wnr.com,2.16%,9.06/35.82,"Western Refining is an independent oil refiner and marketer headquartered in El Paso, Texas. The company operates primarily in the Southwestern and Mid-Atlantic regions of the United States. Western Refining (WNR) has been publicly traded on the New York Stock Exchange since January, 2006.",2.43,-,-,NYSE,-,39.37亿,1.09亿,油气/精炼与营销,0.48%,75.87%,2.37
1863,维亚康姆,VIA,US,11.23,-,4.05%,11.46/15.26,美国维亚康姆(VIA)是全球著名媒体集团，旗下拥有哥伦比亚广播公司（CBS）、派拉蒙电影公司、MTV电视网等著名公司品牌。2006年维亚康姆拆分成了两家上市公司，另一家是（VIACOM INC NEW  NASDAQ:VIAB）,1.84,-,-,NASDAQ,-,18.93亿,4943.10万,传媒,0.24%,13.57%,4.04
1864,Tractor Supply,TSCO,US,10.66,-,3.13%,27.19/16.81,-,3.16,-,-,NASDAQ,-,69.80亿,1.29亿,特色零售及其他,2.38%,86.50%,5.09
1865,Torch Energy信托,TRU,US,7.49,-,1.75%,-/65.15,-,2.62,-,-,NYSE,-,77.33亿,1.83亿,多元化投资,0.37%,98.00%,5.58
1866,THERAPIX BIOSCIENC SPON ADR EACH REP 20 ORD SH,TRPX,US,0.96,-,5.85%,-/-,-,-,-,-,NASDAQ,-,2189.48万,345.89万,-,1.73%,-,6.59
1867,Shutterfly,SFLY,US,16.06,http://www.shutterfly.com/,1.05%,-/148.53,"Shutterfly是一家个性印品DIY网站，由James Clark创立于1998年，2005 年在纳斯达克上市。

2011年公司以3.33亿美元现金加股票的价格收购了私营的卡片设计公司Tiny Print；
2012年3月1日又以2380万美元柯达在线照片服务。",13.05,-,-,NASDAQ,-,17.05亿,3376.50万,消费者服务,0.68%,111.60%,3.14
1868,Global X JPMorgan US Sector Rotator Index ETF,SCTO,US,-,-,0.09%,-/-,-,-,-,-,NYSE,-,627.45万,25.00万,-,0.38%,-,-
1869,"Rexford Industrial Realty, Inc",REXR-A,US,-,-,0.52%,-/-,-,-,-,-,NYSE,-,8949.60万,360.00万,-,0.12%,-,-
1870,辉瑞,PFE,US,9.79,http://www.pfizer.com,0.96%,15.87/32.05,辉瑞制药有限公司是一家专门研究的全球性制药公司。该公司有三个业务部门:医疗保健、动物健康和消费者医疗保健。它的产品遍及许多国家。,3.45,-,212-573-2323,NYSE,-,1982.02亿,61.84亿,医药制造,0.36%,58.06%,3.27
1871,永流传组合ETF-Global X,PERM,US,-,-,-,-/-,-,-,-,-,NYSE,-,746.85万,30.00万,-,-,-,-
1872,纳斯达克综合指数ETF-Fidelity,ONEQ,US,-,-,0.79%,-/6.57,-,-,-,-,NASDAQ,-,11.85亿,490.00万,-,0.49%,5.00%,1.11
1873,Realty Income ,O,US,25.76,-,1.11%,19.55/47.07,-,10.19,-,-,NYSE,-,147.81亿,2.73亿,房地产投资信托基金/零售业,0.55%,68.25%,2.10
1874,西北天然气,NWN,US,30.53,-,1.84%,21.79/27.26,-,6.66,-,-,NYSE,-,17.10亿,2864.40万,公用气业,0.37%,58.20%,1.97
1875,纳斯达克100指数,QQQ,US,-,-,0.46%,-/4.69,"QQQ，由PowerShares旗下的追踪纳斯达克100指数ETF，该ETF价格与纳斯达克100指数波动方向相同，波动幅度与纳斯达克100指数相同，即纳斯达克100指数上涨1%对应该ETF指数上涨约1%。
更多资料可查询：http://www.etf.com/QQQ",-,-,-,NASDAQ,-,496.30亿,3.57亿,行业指数,4.91%,35.00%,-
1876,晨星护城河ETF-VanEck Vectors,MOAT,US,-,-,0.34%,-/-,-,-,-,-,NYSE,-,11.20亿,2945.00万,-,0.76%,-,-
1877,赫尔曼米勒,MLHR,US,9.71,http://www.hermanmiller.com/global,1.88%,16.77/14.68,Herman Miller是一家位于加州的国际化高端办公家具供应与服务商，创建于1923年，公司在20世纪30年代后，抓住了现代家具原创设计是关键，坚持“设计至上、设计决定、产品诚信”的设计哲学理念，引进一流设计人才，从而跻身全球高端家具行列。该公司是高端家具定位模式的代表，美国知名国际家具品牌,3.66,-,-,NASDAQ,-,19.04亿,5978.50万,商业设备,0.35%,84.12%,3.25
1878,曼格纳国际,MGA,US,27.20,-,1.56%,11.34/8.26,-,2.04,-,-,NYSE,-,173.12亿,3.81亿,汽车配件,0.36%,54.45%,1.67
1879,Luxfer,LXFR,US,5.81,-,1.77%,12.24/15.13,-,0.85,-,-,NYSE,-,3.34亿,2690.00万,-,0.06%,84.00%,2.14
1880,POWERSHARES ETF TR II,LDRI,US,-,-,0.16%,-/-,-,-,-,-,NASDAQ,-,2497.00万,100.00万,-,0.27%,-,-
1881,Nuveen Mortgage Opportunity Term Fund Nuveen Mortgage Opportunity Term Fund,JLS,US,-,-,0.87%,-/-,-,-,-,-,NYSE,-,4.01亿,1588.80万,-,0.04%,47.00%,-
1882,核心全美元债市场ETF-iShares,IUSB,US,-,-,0.51%,-/-,-,-,-,-,NYSE,-,9.44亿,1850.00万,-,0.42%,-,-
1883,Innoviva,INVA,US,-3.06,-,2.24%,-/18.88,-,16.11,-,-,NASDAQ,-,13.21亿,1.09亿,-,0.64%,88.83%,-3.95
1884,HARTFORD FINL SVCS GROUP INC,HGH,US,-,-,0.86%,-/-,-,-,-,-,NYSE,-,7.50亿,2400.00万,-,0.14%,-,-
1885,CGI,GIB,US,15.88,-,1.03%,19.20/18.26,-,15.21,-,-,NYSE,-,128.40亿,2.63亿,网络软件及服务,0.05%,59.00%,3.07
1886,FIDELITY,FCOR,US,-,-,0.57%,-/-,-,-,-,-,NYSE,-,3035.40万,60.00万,-,1.10%,-,-
1887,精技医疗器械,EXAC,US,16.79,-,1.53%,19.55/1537.50,"Exactech, Inc. is an orthopaedic company that develops, manufactures, markets, distributes and sells orthopaedic implant devices, related surgical instrumentation and biologic services to hospitals and physicians in the United States and internationally.",3.72,-,-,NASDAQ,-,4.40亿,1431.20万,医疗器械设备,0.11%,60.84%,1.83
1888,道指2X做空-ProShares,DXD,US,-,-,0.81%,-/-,"DXD,ProShares旗下两倍做空道琼斯指数的ETF，该ETF价格与道琼斯指数波动方向相反，波动幅度约为道琼斯指数的2倍，即道琼斯指数下跌1%对应该ETF指数上涨约2%。更多资料可查询：http://www.etf.com/DXD",-,-,-,NYSE,-,2.37亿,1907.40万,-,4.37%,-,-
1889,DIVIDEND & INCOME FUND,DNI,US,-,-,0.49%,-/5.00,-,-,-,-,NYSE,-,1.30亿,1064.90万,-,0.31%,12.19%,0.92
1890,WESTERN ASSET MTG DEF OPPTY,DMO,US,-,-,1.01%,-/-,-,-,-,-,NYSE,-,2.59亿,1044.30万,-,0.27%,28.00%,-
1891,QWEST CORP,CTY,US,-,-,0.40%,242.28/-,-,-,-,-,NYSE,-,7.47亿,3000.00万,-,0.11%,-,-
1892,Qwest Corporation,CTDD,US,-,-,0.20%,-/-,-,-,-,-,NYSE,-,5.77亿,2300.00万,-,1.03%,-,-
1893,Chatham Lodging信托,CLDT,US,17.46,http://www.chathamlodgingtrust.com/,1.04%,15.35/22.54,"It is a self-advised hotel investment company organized in October 2009 to invest in premium-branded upscale extended-stay, upscale select-service, and full-service hotels. We expect that a significant portion of our portfolio will consist of hotels in the upscale extended-stay market, including brands such as Residence Inn by Marriott®, Homewood Suites by Hilton® and Summerfield Suites by Hyatt®.",4.53,-,-,NYSE,-,7.36亿,3840.50万,房地产投资信托基金/商业办公,0.07%,98.00%,1.10
1894,奇美拉投资,CIM,US,18.70,http://www.chimerareit.com/,0.99%,7.95/5.49,"Chimera Investment Corporation is a specialty finance Real Estate Investment Trust (REIT), that invests in residential mortgage loans, real estate-related securities and various other asset classes.",3.82,-,-,NYSE,-,34.31亿,1.88亿,物业管理,0.59%,316.00%,0.98
1895,EATON VANCE CA MUNI INCOME T,CEV,US,-,-,0.48%,-/13.09,-,-,-,-,AMEX,-,9024.69万,725.50万,-,1.02%,26.00%,0.92
1896,新兴市场美元公司债-iShares,CEMB,US,-,-,-,-/-,-,-,-,-,AMEX,-,7648.50万,-,-,-,-,-
1897,COMCAST CORP NEW,CCV,US,11.59,-,0.23%,-/8.06,-,-,-,-,NYSE,-,2.99亿,1150.00万,-,0.14%,-,2.25
1898,Cambria Core Equity ETF,CCOR,US,-,-,1.52%,-/-,-,-,-,-,NYSE,-,9823.32万,10.00万,-,2.12%,-,-
1899,CINCINNATI BELL INC NEW,CBB-B,US,-,-,-,-/159.35,-,-,-,-,NYSE,-,1.56亿,310.50万,-,0.01%,0.18%,-
1900,博科通信,BRCD,US,6.32,http://www.brocade.com/index.page,0.32%,12.91/45.14,"Brocade Communications Systems, Inc.于1995年8月24日在美国加州注册成立，并于1999年5月14日在美国特拉华州重组。该公司是网络设备的顶级供应商，业务目标为各类商业企业，包括全球性企业以及诸如电信公司、有线电视运营商和移动运营商之类的服务供应商。",8.49,-,-,NASDAQ,-,51.53亿,4.08亿,数据存储设备,1.13%,81.65%,2.00
1901,英国石油,BP,US,29.79,http://www.bp.com/,0.60%,20.48/924.00,BP是世界上最大的石油和石化集团公司之一。公司的主要业务是油气勘探开发；炼油；天然气销售和发电；油品零售和运输；以及石油化工产品生产和销售。经营范围涉及油气勘探、开采、炼制、运输、销售、石油化工及煤炭、有色金属、计算机、海运、保险等多方面。,1.85,-,+ 44 (0) 207496 4000,NYSE,"BP p.l.c.1 St James's Square London, SW1Y 4PD",1212.51亿,32.81亿,大型综合性油气企业,0.13%,12.03%,1.24
1902,拜玛林制药,BMRN,US,15.98,http://www.bmrn.com,2.84%,-/-,"With four products on the market and a fully-integrated multinational organization in place, BioMarin is providing innovative therapeutics to patients with serious unmet medical needs.",6.44,-,-,NASDAQ,-,157.90亿,1.74亿,生物技术,0.50%,104.70%,5.66
1903,Alpine Global Premier Properties Fund Alpine Global Premier Properties Fund Common Shares of Beneficial Interest,AWP,US,-,-,0.39%,-/8.13,-,-,-,-,NYSE,-,5.26亿,8540.80万,-,0.04%,48.00%,0.94
1904,澳洲新西兰债券基金-WisdomTree,AUNZ,US,-,-,-,-/-,-,-,-,-,NYSE,-,1463.20万,80.00万,-,-,-,-
