,co_name,symbol,market,asset,co_business,cc,amplitude,pe_s_d,co_intro,exchange,mv,pb_d,ps_d,equity,industry
856,九州通,600998,SH,7.54,-,16.31亿,1.94%,35.77/34.05,"    九州通医药集团股份有限公司发轫于改革开放之初的1985年,2000年1月,九州通医药集团第一家经营性子公司--湖北九州通医药有限公司正式创立。2007年8月,成功引进外资6000万美金,成为中外合资企业。2008年11月28日,九州通集团有限公司正式改为九州通医药集团股份有限公司。",SH,313.59亿,2.53,0.54,16.47亿,医药生物
857,明星电缆,603333,SH,2.71,-,5.20亿,3.04%,-/-,"    公司前身为四川明星电缆有限公司,成立于2003年7月7日。2008年8月28日,明星有限全体股东作为发起人,以明星有限截至2008年7月31日经审计的净资产人民币298,268,528.11元,按1:0.6705的比例折股,折合200,000,000股,每股面值1.00元,将明星有限整体变更为四川明星电缆股份有限公司。公司在乐山市工商行政管理局依法办理了变更登记手续,取得<企业法人营业执照>。",SH,35.36亿,2.49,6.00,5.20亿,电气设备
858,新华网,603888,SH,11.75,-,5190.29万,2.36%,59.33/58.95,"    公司前身为新华网络有限公司,于2000年7月4日由新华社、信息社共同出资设立。
    2011年5月,经财政部《关于新华网股份有限公司(筹)设立方案及国有股权管理方案有关问题的函》(财教函[2011]22号)批准,有限公司整体变更为新华网股份有限公司。2011年5月16日,本公司在工商总局办理工商变更登记手续,注册登记号为100000000033888。",SH,166.19亿,6.81,11.81,2.08亿,传媒
859,达实智能,002421,SZ,1.48,-,14.10亿,2.78%,38.12/37.11,"    1995年3月17日,公司前身深圳达实自动化工程有限公司领取了国家工商行政管理部门颁发的外商投资企业法人营业执照。经深圳市人民政府深府函[2000]67号和深圳市外商投资局深外资复[2000]B1576号文批准,达实自动化以截至2000年9月30日经天勤会计师事务所审计的净资产3,700万元按1:1的折股比例折为3,700万股股份,整体变更为股份有限公司。
    2000年10月31日,公司领取了深圳市人民政府颁发的批准号为外经贸粤深股份证字[2000]0003号<批准证书>,并在深圳市工商局办理了工商变更登记手续,名称变更为深圳达实智能股份有限公司。",SZ,105.01亿,3.68,4.25,19.27亿,计算机
860,深证创新,399332,SZ,-,-,-,-,-,深圳证券交易所地处中国深圳市，成立于1990年12月1日，是不以营利为目的，实行自律性管理的法人。深交所致力于创造 公开、公平、 公正的市场环境，保证证券市场的正常运行。,SZ,-,-,-,-,A股指数
861,健盛集团,603558,SH,5.02,-,1.16亿,4.21%,54.67/63.83,"    浙江健盛集团股份有限公司系由浙江健盛袜业有限公司整体变更设立的,以经浙江天平会计师事务所有限责任公司审计的截至2007年12月31日的净资产人民币58,063,056.65元,按1:0.861的比例折合5,000万股,净资产大于股本部分8,063,056.65元计入资本公积,并于2008年5月26日在浙江省工商行政管理局完成工商登记。",SH,56.65亿,3.04,7.97,3.71亿,纺织服装
862,潍柴动力,000338,SZ,8.22,-,21.59亿,3.52%,18.20/14.04,"    公司是经山东省人民政府鲁政股字[2002]64号山东省股份有限公司批准证书批准,由潍坊柴油机厂作为主发起人联合其它发起人共同发起设立的股份有限公司,于2002年12月23日取得山东省工商行政管理局颁发的<企业法人营业执照>。",SZ,444.25亿,1.35,0.40,39.99亿,汽车
863,益盛药业,002566,SZ,5.32,-,2.13亿,2.81%,276.91/214.52,"    吉林省集安益盛药业股份有限公司由原集安制药有限公司改制成立。1997年5月16日,集安市工业局以集工请字[1997]第7号文向集安市人民政府申请成立集安制药有限公司,1997年5月18日集安市人民政府以集政函[1997]16号<集安市人民政府关于成立集安制药有限公司的批复>批准同意公司成立。2000年12月27日,经吉林省经济贸易委员会吉经贸企改字[2000]996号文批准,公司按照1:1的比例进行净资产折股整体变更为股份有限公司,名称变更为吉林省集安益盛药业股份有限公司。",SZ,36.54亿,2.08,3.81,3.31亿,医药生物
864,苏交科,300284,SZ,5.52,-,3.45亿,4.00%,27.00/26.86,"    公司前身江苏省交通科学研究院有限公司(前身为江苏省交通科学研究院)成立于2002年8月29日。
    2008年8月25日,江苏省交通科学研究院有限公司召开第三十三次股东会,全体股东一致同意以截至2008年6月30日经审计的净资产247,796,817元为基数,以整体变更的方式共同发起设立江苏省交通科学研究院股份有限公司,股本总额为180,000,000元,剩余67,796,817元作为资本公积金。同日,公司发起人召开创立大会暨第一次股东大会,一致同意设立江苏省交通科学研究院股份有限公司,并审议通过了公司章程、选举了第一届董事会董事和第一届监事会中由股东代表出任的监事。江苏天衡会计师事务所有限公司为此出具了天衡验字(2008)71号<验资报告>。
    2015年3月,公司名称由“江苏省交通科学研究院股份有限公司”变更为“苏交科集团股份有限公司”,英文名称由“Jiangsu Transportation Institute”变更为“JSTI GROUP”。",SZ,102.37亿,3.30,2.21,5.61亿,建筑装饰
865,外运发展,600270,SH,8.52,-,9.05亿,2.80%,15.46/14.79,"    中外运空运发展股份有限公司成立于1999年10月11日,是经国家经贸委国经贸企改[1999]939号文批准,由中国对外贸易运输(集团)总公司作为主要发起人,联合中国机械进出口(集团)有限公司等企业,以发起设立方式设立的股份有限公司。
    经中国证券监督管理委员会证监发行字[2000]156号文批准,本公司于2000年11月30日公开发行人民币普通股7,000万股,并于2000年12月28日在上海证券交易所上市交易。",SH,153.84亿,1.99,2.91,9.05亿,交通运输
866,皖美菱B,200521,SZ,5.60,-,1.61亿,2.37%,17.53/16.94,"    公司是1992年6月12日经原安徽省体改委[皖体改函字(1992)第039号]批准,由合肥美菱电冰箱总厂改制设立的股份有限公司。1993年8月30日,经安徽省人民政府[皖政秘(1993)166号]批准和中国证监会[证监发审字(1993)27号]复审同意,首次向社会公开发行3,000万股A股股票,1993年10月18日在深交所挂牌上市交易。1996年8月13日,经中国证监会[证委发(1996)26号]批准向境外投资者发行了10,000万股B股股票,1996年8月28日在深圳证券交易所上市流通。企业法人营业执照注册号:企股皖总字第001684号。",SZ,43.77亿,0.75,0.29,10.45亿,家用电器
867,海天精工,601882,SH,2.09,-,5220.00万,5.00%,142.38/139.40,"    2002年4月10日,公司前身宁波大港天新机械有限公司成立。
    2002年8月8日,更名为宁波海天精工机械有限公司。
    2012年4月11日,公司整体变更为股份有限公司,公司名称变更为宁波海天精工股份有限公司。",SH,90.10亿,8.25,8.82,5.22亿,机械设备
868,杭叉集团,603298,SH,5.37,-,8666.00万,3.12%,33.62/33.62,"    杭叉集团股份有限公司,曾用名“浙江杭叉工程机械股份有限公司”。
    于2003年5月整体变更设立的股份有限公司“浙江杭叉工程机械集团股份有限公司”;2003年5月6日,在浙江省工商行政管理局办理工商登记,并取得注册号为3300001009670的《企业法人营业执照》。
    2008年11月,经公司股东大会决议通过及浙江省工商行政管理局核准,公司名称由“浙江杭叉工程机械股份有限公司”变更为“浙江杭叉工程机械集团股份有限公司”。
    2010年12月,经公司股东大会决议通过及浙江省工商行政管理局核准,公司名称由“浙江杭叉工程机械集团股份有限公司”变更为“杭叉集团股份有限公司”。",SH,135.34亿,4.07,2.38,6.19亿,机械设备
869,新兴铸管,000778,SZ,4.73,-,36.43亿,5.51%,64.64/45.04,"    公司是经中国人民解放军总后勤部以[1997]后生字第86号文批准筹建,由国务院国有资产监督管理委员会所属的新兴铸管集团有限公司(以下简称""集团公司"")独家发起,以社会募集方式设立的股份有限公司。股份公司于1997年5月24日办理工商注册登记正式成立。",SZ,284.55亿,1.51,0.53,39.91亿,钢铁
870,欣龙控股,000955,SZ,1.34,-,5.38亿,3.94%,95.38/72.81,"    欣龙控股(集团)股份有限公司系经海南省人民政府琼府函[1999]62号文批准,由上海申达股份有限公司、海南欣安实业总公司、合盛投资有限公司、海南东北物资开发公司、甘肃华原企业总公司将其共同投资的海南欣龙无纺实业有限公司依法变更而成的股份有限公司。",SZ,30.58亿,4.25,5.69,5.38亿,-
871,唐人神,002567,SZ,3.74,-,4.20亿,4.09%,38.11/32.94,"    唐人神的前身是由株洲市饲料厂和注册于香港的大生行饲料有限公司合资设立的湖南湘大实业有限公司,成立于1992年9月11日。
    1997年12月31日,湖南湘大实业有限公司整体变更为湖南湘大实业股份有限公司。
    2000年8月9日,中华人民共和国对外贸易经济合作部批准""湖南湘大实业股份有限公司""更名为""湖南湘大唐人神实业股份有限公司""。
    2000年10月18日,中华人民共和国对外贸易经济合作部批准""湖南湘大唐人神实业股份有限公司""更名为""湖南唐人神集团股份有限公司""。
    2004年10月26日及2004年12月11日,分别经国家工商行政管理总局及国家商务部批准,""湖南唐人神集团股份有限公司""更名为""唐人神集团股份有限公司""。",SZ,76.61亿,3.83,0.66,5.35亿,农林牧渔
872,中泰股份,300435,SZ,2.92,-,8271.20万,3.95%,55.57/57.71,"    公司前身为""杭州中泰过程设备有限公司"",成立于2006年1月18日。
    2011年7月28日,中泰过程股东会决议同意公司整体变更为股份有限公司,公司名称变更为""杭州中泰深冷技术股份有限公司""。",SZ,31.60亿,4.42,8.68,2.45亿,机械设备
873,光库科技,300620,SZ,4.86,-,2200.00万,4.36%,61.43/61.43,-,SZ,30.45亿,7.12,16.35,8800.00万,-
874,中证超大,399980,SZ,-,-,-,-,-,"  上海证券交易所和深圳证券交易所共同出资设立中证指数有限公司，9月23日在上海成立。
  中证指数有限公司成立以后,将在沪深300指数的基础之上,充分依托两所资源优势,设立指数专家委员会,本着科学、客观、公正、透明的原则,陆续编制开发适应中国证券市场发展需求,有利金融创新的中证系列指数,并将提供更为广泛的指数订制、研究咨询等相关服务。
  成立当天，中证指数有限公司分别与嘉实、大成、华安、南方、友邦华泰、国联安、华宝兴业、申万巴黎、天同等9家基金管理公司签订了指数授权使用、指数订制等协议。",SZ,-,-,-,-,A股指数
875,歌华有线,600037,SH,9.20,-,11.68亿,2.50%,27.89/28.16,"    公司系经北京市人民政府京政函[1999]120号文件批准,由北京歌华文化发展集团、北京青年报业总公司、北京有线全天电视购物有限责任公司、北京广播发展总公司及北京出版社五家股东共同发起设立的股份有限公司。
    经中国证券监督管理委员会以证监发行字[2000]186号文<关于核准北京歌华有线电视网络股份有限公司公开发行股票的通知>批准,本公司于2001年1月4日公开发行人民币普通股(A股)8,000万股,2001年2月8日社会公众股上市交易。",SH,202.23亿,1.58,7.64,13.92亿,-
876,万东医疗,600055,SH,3.32,-,3.46亿,1.93%,85.96/74.27,"    公司系由原北京万东医疗装备公司于1997年3月24日独家发起定向募集设立,以其生产经营性净资产折为国家股3500万股,经1997年4月24日公开发行后,上市时总股本达5000万股,其内部职工股150万股将于公众股1350万股1997年5月19日上市交易期满半年后上市。",SH,61.50亿,4.80,7.66,3.86亿,医药生物
877,安通控股,600179,SH,2.42,-,3.90亿,5.09%,45.15/111.34,"    黑龙江黑化股份有限公司是经黑龙江省人民政府黑政函(1998)57号文批准,由黑龙江黑化集团有限公司作为独家发起人,并以募集方式设立的股份有限公司。
    经中国证券监督管理委员会证监发字(1998)241号和证监发字(1998)242号批准,公司于1998年9月22日向社会公开发行人民币普通股10,000万股。
    2016年11月10日,公司名称由""黑龙江黑化股份有限公司""变更为""安通控股股份有限公司"";英文名称由""Heilongjiang Heihua Co.,Ltd.""变更为""Antong Holdings Co.,Ltd.""。",SH,181.20亿,7.06,4.13,10.62亿,采掘
878,中茵股份,600745,SH,5.73,-,4.83亿,2.91%,251.95/67.10,"    本公司原名为“黄石康赛股份有限公司”、“黄石服装股份有限公司”,由黄石服装厂独家发起,以其南湖分厂全部资产折股135万股(面值1元,下同)和募集社会个人股165万股而设立的股份有限公司,并经工商行政管理部门批准更名为黄石康赛时装股份有限公司。1993年3月经工商行政管理部门批准更名为黄石康赛集团股份有限公司1996年8月经中国证券监督管理委员会证监发字〔1996〕第158号文件批准,上海证券交易所以上证上字〔1996〕第069号文同意,本公司股票于1996年8月28日在上海证券交易所挂牌交易。
    1999年5月公司更名为黄石康赛股份有限公司。2003年3月,公司名称更名为湖北天华股份有限公司。
    2008年3月公告公司名称由“湖北天华股份有限公司”变更为“中茵股份有限公司”。",SH,120.89亿,3.31,0.75,6.37亿,房地产
879,全筑股份,603030,SH,8.16,-,6435.53万,3.14%,48.64/43.56,"    公司前身为上海全筑建筑装饰工程有限公司,成立于1998年10月14日,2011年4月25日,公司在上海市工商行政管理局办理了变更登记,取得了注册号为310229000408316的《企业法人营业执照》,公司整体变更为上海全筑建筑装饰集团股份有限公司。",SH,48.83亿,3.37,1.37,1.77亿,建筑装饰
880,绝味食品,603517,SH,5.67,-,5000.00万,3.90%,37.78/38.13,"    湖南绝味食品股份有限公司系2008年12月17日由戴文军、陈更、罗鲲、李启朋、张高飞、叶伟6位股东发起设立。
    2015年4月15日,湖南绝味食品股份有限公司更名为绝味食品股份有限公司。",SH,143.66亿,6.18,4.22,4.10亿,食品饮料
881,荣泰健康,603579,SH,17.05,-,1750.00万,3.00%,41.50/40.46,"    2002年11月15日,设立上海荣泰健身科技发展有限公司。
    2013年10月10日,荣泰有限通过股东会决议,同意上海荣泰健身科技发展有限公司整体变更为股份有限公司,于2013年10月31日在上海市工商行政管理局完成工商变更登记。",SH,85.75亿,7.18,6.27,7000.00万,家用电器
882,浙江世宝,002703,SZ,4.72,-,1.39亿,3.71%,108.26/106.38,"    公司由浙江世宝方向机有限公司整体变更设立。根据浙江世宝方向机有限公司2004年3月23日股东会决议及发起人共同签署的《发起人协议书》,同意将世宝有限整体变更为浙江世宝股份有限公司。2004年4月13日,经浙江省人民政府企业上市工作领导小组浙上市[2004]37号文《关于同意变更设立浙江世宝股份有限公司的批复》批准,同意在浙江世宝方向机有限公司整体改制基础上,变更设立浙江世宝股份有限公司。",SZ,68.73亿,4.61,5.89,3.16亿,汽车
883,道恩股份,002838,SZ,9.35,-,2100.00万,3.48%,65.65/63.98,"    公司前身系龙口市道恩工程塑料有限公司,成立于2002年12月6日。2010年12月29日,龙口市道恩工程塑料有限公司整体变更设立为山东道恩高分子材料股份有限公司。",SZ,52.07亿,6.63,6.11,8400.00万,化工
884,华纺股份,600448,SH,2.01,-,4.22亿,4.95%,241.59/261.52,"    公司是经国家经贸委<关于同意设立华纺股份有限公司的复函>(国经贸企改[1999]774号)批复,由华诚投资管理有限公司、山东滨州印染集团有限责任公司为主要发起人,联合山东亚光纺织集团有限公司、上海雪羚毛纺织有限公司、湖州惠丰纺织有限公司三家企业,共同发起设立的股份有限公司,于1999年9月3日,在山东省工商行政管理局正式注册成立。2001年7月13日经中国证券监督管理委员会证监发行字[2001]45号文核准,采用上网定价发行方式向社会公开发行人民币普通股8500万股。",SH,24.84亿,2.92,1.00,4.22亿,纺织服装
885,*ST运盛,600767,SH,0.63,-,3.41亿,2.85%,-/-,"    运盛(上海)实业股份有限公司(原名运盛(福建)实业股份有限公司)系1993年8月30日经福建省体改委批准(闽体(1993)108号)和福建省对外经济贸易委员会批准(闽外经贸(1993)贸字1043号)设立的中外合资股份制企业。1996年11月公司股票(A股)获准在上海证券交易所上市交易。公司原注册资本10,000万元,2000年6月股本增加至34,101.0182万元,业经福州闽都有限责任会计师事务所验证,并出具闽都所(2001)审五字第162号验资报告。2001年11月运盛(福建)实业股份有限公经福建省外经贸厅批准(闽外经贸2001资字311号)和上海市外国投资工作委员会批准(沪外资委批字2001第1857号)迁址上海并更名运盛(上海)实业股份有限公司,2001年11月31日领取变更后企业法人营业执照,注册号:企股沪总字第029834号(市局);企业类型:中外合资股份制企业;经营期限:不约定期限。2002年1月15日公司设立运盛(上海)实业股份有限公司福州分公司(福州分公司营业执照注册号:企股闽榕分副字第01123号-1/0)。
    2015年6月3日,公司名称由“运盛(上海)实业股份有限公司”变更为“运盛(上海)医疗科技股份有限公司”,英文名称由“Winsan(Shanghai)Industrial Corporation Ltd.”变更为“Winsan(shanghai)Medical Science And Technology Co.,Ltd.”。",SH,25.06亿,11.77,28.09,3.41亿,-
886,三钢闽光,002110,SZ,5.61,-,5.35亿,2.97%,19.52/14.01,"    公司系经福建省人民政府""闽政体股[2001]36号""文批准,由福建省三钢(集团)有限责任公司、厦门国贸集团股份有限公司、厦门港务集团有限公司、厦门市国光工贸发展有限公司、厦门鹭升物流有限公司、福建省晋江市福明鑫化建贸易有限公司、闽东荣宏建材有限公司、钢铁研究总院以及中冶集团北京钢铁设计研究总院等九家单位共同发起设立。",SZ,180.91亿,2.35,1.12,13.74亿,钢铁
887,赛象科技,002337,SZ,2.05,-,5.77亿,3.47%,266.26/200.60,"    天津赛象科技股份有限公司前身为天津市橡塑机械联合有限公司。
    2000年11月16日,经天津市人民政府津股批[2000]16号文批准,天津市橡塑机械联合有限公司整体变更为天津橡塑机械股份有限公司,同年12月更名为天津赛象科技股份有限公司。
    天津赛象科技股份有限公司是经天津市人民政府津股批[2000]16号文件批准,以天津市橡塑机械联合有限公司2000年8月31日经审计的净资产3,180万元为基础,按照1:1的比例整体变更设立的股份有限公司。",SZ,34.38亿,2.85,9.96,5.89亿,机械设备
888,富临运业,002357,SZ,3.40,-,3.13亿,3.24%,34.47/30.00,"    公司前身是富临运业有限公司,成立于2002年3月18日。2007年7月12日,经富临运业有限公司股东会审议通过,决定由公司全体股东作为发起人,将富临运业有限公司整体变更为四川富临运业集团股份有限公司。富临运业有限公司以2007年4月30日经四川君和会计师事务所有限责任公司审计的净资产人民币80,480,757.17元,按照1.3272:1的折股比例折成富临运业的股份60,637,770股,每股面值1.00元。2007年8月8日,公司在四川省绵阳市工商行政管理局办理了工商变更登记手续,并领取了新的《企业法人营业执照》,注册资本为60,637,770元,企业法人营业执照注册号为:510700000001446。",SZ,32.70亿,3.07,2.83,3.13亿,-
889,内地运输,000945,SH,-,-,-,-,-,"  上海证券交易所和深圳证券交易所共同出资设立中证指数有限公司，9月23日在上海成立。
  中证指数有限公司成立以后,将在沪深300指数的基础之上,充分依托两所资源优势,设立指数专家委员会,本着科学、客观、公正、透明的原则,陆续编制开发适应中国证券市场发展需求,有利金融创新的中证系列指数,并将提供更为广泛的指数订制、研究咨询等相关服务。
  成立当天，中证指数有限公司分别与嘉实、大成、华安、南方、友邦华泰、国联安、华宝兴业、申万巴黎、天同等9家基金管理公司签订了指数授权使用、指数订制等协议。",SH,-,-,-,-,A股指数
890,上海机场,600009,SH,11.98,-,10.93亿,3.61%,26.57/25.21,"    上海国际机场股份有限公司(""本公司"")于1997年5月16日经上海市人民政府以沪府[1997]28号文批准设立,由上海机场(集团)有限公司(""机场集团"")作为独家发起人改组而成。本公司于1998年1月15日公开发行每股面值人民币1元的人民币普通股(""A股"")并于1998年2月18日在上海证券交易所上市。截止2007年6月30日本公司的股本为1,926,958,448元。",SH,745.35亿,3.23,10.73,19.27亿,交通运输
891,佛慈制药,002644,SZ,2.55,-,5.11亿,2.36%,75.02/70.06,"    1999年12月8日,兰州佛慈制药厂、兰州医药(集团)有限公司、兰州大得利生物化学制药(厂)有限公司、兰州市煤炭工业总公司、甘肃省兰洁药用制瓶有限公司、甘肃润凯绒毛有限公司、兰州轻工业机械厂签署<设立兰州佛慈制药股份有限公司发起人协议>,共同发起设立兰州佛慈制药股份有限公司。",SZ,45.70亿,3.50,12.06,5.11亿,医药生物
892,康斯特,300445,SZ,2.53,-,4080.00万,4.92%,84.66/82.17,"    公司前身为""北京康斯特仪表科技有限公司"",成立于2004年9月20日。
    2008年4月1日,公司取得北京市工商行政管理局局颁发的<企业法人营业执照>,股份公司正式成立。",SZ,37.32亿,8.90,20.13,1.66亿,机械设备
893,德尔股份,300473,SZ,14.67,-,4674.84万,2.83%,42.94/41.43,"    公司前身为阜新德尔汽车转向泵有限公司,原名阜新德尔科技有限公司,系由上海普安投资发展有限公司与韩国东亚贸易株式会社共同出资设立。2012年4月18日,阜新市工商行政管理局对阜新德尔汽车转向泵有限公司整体变更设立阜新德尔汽车部件股份有限公司予以核准,颁发210900400007676号<企业法人营业执照>。",SZ,47.11亿,3.06,7.17,1.05亿,汽车
894,海顺新材,300501,SZ,8.73,-,2404.08万,5.29%,44.86/43.91,"    公司前身为成立于2005年1月18日的上海海顺包装材料有限公司,2010年12月20日,上海海顺包装材料有限公司整体变更设立为上海海顺新型药用包装材料股份有限公司。",SZ,28.98亿,4.93,9.03,6725.88万,轻工制造
895,洪都航空,600316,SH,7.03,-,7.17亿,3.90%,988.60/1240.21,"    江西洪都航空工业股份有限公司是由江西洪都航空工业集团有限责任公司,联合南昌长江机械工业公司、宜春第一机械厂、江西爱民机械厂、江西第二机床厂等四家企业于1999年12月16日共同发起设立的股份有限公司。
    公司于2000年12月15日在上海证券交易所挂牌交易。",SH,109.14亿,2.16,3.06,7.17亿,国防军工
896,XD京投发,600683,SH,2.86,-,7.41亿,3.90%,19.20/28.63,"    京投银泰股份有限公司前身为宁波华联集团股份有限公司,1992年9月以募集方式设立。
    2002年11月21日,公司名称由原""宁波华联集团股份有限公司""变更为""银泰控股股份有限公司""。
    2009年7月14日,公司名称由""银泰控股股份有限公司""变更为""京投银泰股份有限公司""。
    2016年6月6日,公司名称由“京投银泰股份有限公司”变更为“京投发展股份有限公司”。",SH,55.78亿,2.63,1.11,7.41亿,房地产
897,欧普照明,603515,SH,5.49,-,5800.00万,2.43%,38.16/36.86,-,SH,193.26亿,6.08,3.36,5.79亿,电子
898,贵人鸟,603555,SH,4.57,-,6.14亿,2.32%,45.36/45.17,"    公司是由贵人鸟中国整体变更设立的中外合资股份有限公司。2011年3月21日,福建省对外贸易经济合作厅作出<关于贵人鸟(中国)有限公司改制为贵人鸟股份有限公司的批复>(闽外经贸外资[2011]118号),同意贵鸟中国以截至2010年12月31日经审计的净资产570,839,564.58元中的52,500万元按1:1的比例折合52,500万股,余额45,839,564.58元转为公司资本公积金,改制设立为股份有限公司。2011年3月31日,本公司在福建省工商行政管理局办理工商变更登记,领取了<企业法人营业执照>,注册号350500400022497。",SH,132.76亿,4.62,5.26,6.29亿,纺织服装
899,深赛格,000058,SZ,1.44,-,5.38亿,2.14%,86.85/195.25,"    公司系根据中华人民共和国公司法的有关规定,经深圳市及国家有关部门批准,以深圳市赛格集团有限公司作为独家发起人并采用公开募集方式设立的股份有限公司,于1996年7月16日成立,领取深司字N16886号企业法人营业执照,注册号为4403011014290,并获国家和深圳证券管理部门批准B股于1996年7月、A股于1996年12月在深圳证券交易所挂牌上市。",SZ,93.42亿,5.24,16.72,12.36亿,商业贸易
900,江海股份,002484,SZ,3.69,-,6.38亿,4.12%,49.44/46.77,"    公司前身为“南通江海电容器有限公司”,成立于1958年10月1日。
    根据2008年5月22日有限公司董事会决议,决定以2007年12月31日作为股份公司改制基准日,将“南通江海电容器有限公司”整体变更为“南通江海电容器股份有限公司”。",SZ,73.69亿,2.45,5.59,8.15亿,电子
901,闽灿坤B,200512,SZ,3.78,-,1.85亿,1.80%,20.61/20.39,"    公司前身为厦门灿坤电器有限公司,于1988年由吴灿坤先生和蔡渊松先生合资在中国成立,并于1988年1月1日取得外商独资企业独立法人资格。
    1993年3月16日本公司得到中国对外经济贸易与关系部批准,改制为一间股份有限公司。公司的遂改为""厦门灿坤实业股份有限公司""。
    同时将原公司净资产折为10800万股发起人股(B股),于1993年5月至6月,向社会公开发行4000万股境外公众股,同年6月30日""闽灿坤B""在深圳证券交易所上市交易。",SZ,11.27亿,1.61,0.53,1.85亿,家用电器
902,恒顺众昇,300208,SZ,2.25,-,6.16亿,2.33%,45.79/40.44,"    公司系恒顺有限以2010年3月31日经审计账面净资产折股整体变更的股份公司,2010年4月30日公司在青岛市工商局登记注册,注册登记号为370214018001595,注册资本为5,100万元。公司发起人为清源投资、奕飞投资、荣信股份、马东卫、龙晓荣和青岛福日。
    2015年3月24日,公司名称由“青岛市恒顺电气股份有限公司”变更为“青岛市恒顺众昇集团股份有限公司”,英文名称由“Qingdao Evercontaining Electric Co.,ltd.”变更为“Qingdao Hengshun Zhongsheng Group Co.,Ltd.”。",SZ,115.75亿,6.68,9.20,7.67亿,电气设备
903,光一科技,300356,SZ,3.38,-,3.04亿,5.14%,59.25/65.06,"    公司系由江苏光一科技有限责任公司整体变更设立的股份有限公司。根据2009年11月11日股份公司创立大会决议,光一有限以截至2009年9月30日经审计的净资产64,874,708.96元,按1.2975:1的比例折为股份公司的股本,股本总额为5,000万股,每股面值1元。发起人按各自持有的光一有限的股权比例持有本公司的股份。2009年11月23日,本公司在江苏省南京市工商行政管理局办理了变更登记,并领取了注册号为320121000030643的<企业法人营业执照>。",SZ,37.79亿,2.69,4.79,4.15亿,电气设备
904,新光药业,300519,SZ,8.42,-,2000.00万,3.58%,41.06/43.34,-,SZ,48.84亿,7.25,16.05,8000.00万,医药生物
905,深证创新,399331,SZ,-,-,-,-,-,为了配合我国自主创新战略任务的实施，有力促进经济增长模式转变，并适应广大投资者需求，向市场各类投资者提供更多的观察风格型投资的基准尺度和跟踪投资的标的指数，推进指数衍生产品的开发以丰富证券市场产品品种，深圳证券信息有限公司决定于2006年2月27日起正式编制和发布深证创新指数。基期及基点：2002.12.31 ＝1000指数计算：深证创新指数采用派氏加权法编制，采用下列公式逐日连锁实时计算：实时指数 = 上一交易日收市指数×∑（成分股实时成交价×成分股权数）/∑（成分股上一交易日收市价×成分股权数）样本选择标准：按照巨潮系列指数的选股原则进行挑选，选样时先计算入围个股平均流通市值占市场比重和平均成交金额占市场比重，再将上述指标按3：1的权重加权平均，计算结果从高到低排序，选取前40名构成深证自主创新指数初始成份股。入围标准：1.在深圳证券交易所上市交易的符合自主创新原则的A股；2.非ST、*ST股票；3.公司最近一年无重大违规、财务报告无重大问题；4.考察期内股价无异常波动。样本调整原则：深证创新指数实施定期调整，时间定于每年每年的1月和7月的第一个交易日实施调整。,SZ,-,-,-,-,A股指数
906,盛屯矿业,600711,SH,2.74,-,14.57亿,2.94%,48.91/33.30,"    盛屯矿业集团股份有限公司(以下简称公司)是在厦门市电气设备厂改制的基础上,于1992年9月以社会募集方式组建的股份有限公司。1996年5月31日,经中国证券监督管理委员会监发审字[1996]第048号文审核批准和国务院证券委员会[1993]20号文确认,公司发行的A股股票在上海证券交易所上市。1999年公司更名为厦门雄震集团股份有限公司,2008年以后随着公司向有色金属行业转型,经厦门市工商行政管理局核准,公司名称由""厦门雄震集团股份有限公司""变更为""厦门雄震矿业集团股份有限公司"",公司英文名由""XIAMEN EAGLE GROUP CO.,LTD""变更为""XIAMEN EAGLE MINING GROUP CO.,LTD""。
    公司全称由""厦门雄震矿业集团股份有限公司""变更为""盛屯矿业集团股份有限公司"",英文名称由""XIAMEN EAGLE MINING GROUP CO.,LTD""变更为""CHENGTUN MINING GROUP CO.,LTD"",自2011年7月1日起启用新的公司名称。",SH,92.22亿,2.25,0.66,14.97亿,有色金属
907,*ST一重,601106,SH,1.41,-,65.38亿,3.68%,-/-,"    2008年12月25日,经国务院国资委<关于设立中国第一重型机械股份公司的批复>(国资改革[2008]1417号)批准,一重集团联合华融、宝钢集团、长城共同发起设立本公司。",SH,199.41亿,2.16,4.57,65.38亿,机械设备
