,unit
hk02186,500
hk01345,1000
hk00629,1000
hk00619,50000
hk01919,500
hk03322,2000
hk01206,2000
hk00611,2000
hk00337,1000
hk08455,10000
hk02012,500
hk02007,1000
hk00377,4000
hk00280,2000
hk06169,2000
hk06068,2000
hk08039,8000
hk02789,2000
hk01966,1000
hk01638,1000
hk01251,2000
hk00822,2000
hk00603,20000
hk02308,4000
hk00214,2000
hk06116,200
hk01831,1000
hk01266,1000
hk01127,4000
hk01097,1000
hk01061,1000
hk00765,2000
hk00661,2000
hk00596,2000
hk08278,10000
hk02866,1000
hk03623,2000
hk01172,20000
hk01029,2000
hk00399,5000
hk01938,1000
hk08158,5000
hk08062,5000
hk03778,4000
hk01139,16000
hk00979,2000
hk00910,12000
hk00358,1000
hk00128,4000
hk01610,1000
hk00100,1000
hk01370,1000
hk00020,1000
hk00535,2000
hk03993,3000
hk01022,1500
hk00433,10000
hk00777,500
hk08242,10000
hk03838,5000
hk01312,6000
hk00564,200
hk00149,5000
hk00143,2000
hk01599,1000
hk00442,1000
hk03301,500
hk02960,8000
hk00882,2000
hk00683,500
hk00291,2000
hk00227,8000
hk08022,3000
hk01660,8000
hk01281,1000
hk00831,2000
hk00472,10000
hk01371,20000
hk00266,2000
hk02238,2000
hk00805,100
hk08423,10000
hk08089,2000
hk03996,2000
hk01296,1000
hk01171,2000
hk01150,2000
hk01616,2000
hk03708,5000
hk02488,500
hk01668,2000
hk01363,2000
hk00417,2000
hk01303,2000
hk01186,500
hk00095,4000
hk01980,1000
hk00370,20000
hk08318,20000
hk01868,2000
hk01332,10000
hk06118,1000
hk01316,1000
hk00631,1000
hk08169,10000
hk01297,1000
hk01239,20000
hk01112,500
hk01361,1000
hk00485,20000
hk00859,2000
hk00553,2000
hk00098,1000
hk83118,100
hk01979,4000
hk01419,2000
hk00938,2000
hk00913,10000
hk00766,5000
hk00602,2500
hk00884,2000
hk00978,2000
hk00340,2000
hk00018,2000
hk06839,1000
hk02039,100
hk00042,2000
hk08220,20000
hk02033,2000
hk01496,4000
hk01456,500
hk01415,1000
hk08190,10000
hk03833,1000
hk02324,20000
hk01315,2000
hk00818,3000
hk00416,1000
hk00431,4000
hk00113,500
hk03800,1000
hk01443,2000
hk00296,5000
hk00861,1000
hk02777,400
hk02310,2000
hk01133,2000
hk01076,20000
hk00835,10000
hk00330,100
hk00799,1000
hk00639,2000
hk00636,500
hk08250,20000
hk08109,15000
hk03666,2000
hk02883,2000
hk00532,2000
hk00317,2000
hk00210,2000
hk08029,5000
hk00571,2000
hk00391,20000
hk00327,1000
hk00439,1000
hk00081,1000
hk00763,200
hk00374,2000
hk01262,1000
hk01141,10000
hk00899,10000
hk00142,2000
hk00123,2000
hk01893,1000
hk03048,50
hk01071,2000
hk00347,2000
hk00646,8000
hk06865,1000
hk03395,1000
hk02111,2000
hk01446,2000
hk00555,25000
hk02336,10000
hk00830,2000
hk01898,1000
hk00380,4000
hk02188,2000
hk01215,2000
hk01617,4000
hk08139,500
hk08251,10000
hk00732,2000
hk00383,10000
hk00716,2000
hk06033,1000
hk02268,1000
hk00679,10000
hk03899,2000
hk01058,2000
hk00986,2000
hk00819,2000
hk00238,1000
hk08309,10000
hk02023,4000
hk01278,2500
hk01250,20000
hk00250,10000
hk08355,10000
hk08229,5000
hk08025,2000
hk06888,1000
hk02342,2000
hk02100,2000
hk01500,5000
hk00759,2000
hk00500,1000
hk00076,4000
hk06878,2000
hk01538,2000
hk00176,2000
hk00147,5000
hk00010,1000
hk01591,20000
hk00342,2000
hk00842,1000
hk02668,10000
hk00951,1000
hk00455,2000
hk00412,6000
hk00209,4000
hk00547,10000
hk08428,12000
hk03823,2000
hk02199,1000
hk00215,2000
hk00145,8000
hk08258,10000
hk00989,5000
hk00724,10000
hk03709,1000
hk01322,500
hk01249,1000
hk01043,2000
hk00694,2000
hk00608,2000
hk01035,1500
hk00673,3000
hk00552,2000
hk03382,2000
hk01886,500
hk02623,2000
hk00419,10000
hk00191,5000
hk00323,2000
hk01469,4000
hk01201,3000
hk08083,4000
hk02358,10000
hk01021,1000
hk08260,10000
hk01273,4000
hk00479,20000
hk00622,3000
hk00086,1000
hk08177,5000
hk01822,30000
hk08132,10000
hk01458,500
hk00643,10000
hk00240,10000
hk00322,2000
hk08153,5000
hk01728,500
hk02399,1000
hk00877,1000
hk02882,4000
hk01145,1000
hk01039,1000
hk00947,1000
hk01397,4000
hk00821,4000
hk08412,10000
hk08050,2000
hk01280,2000
hk01293,500
hk00094,2000
hk06133,1000
hk00829,2000
hk00036,3000
hk08245,5000
hk08143,4000
hk01330,1000
hk02277,5000
hk01108,2000
hk00033,2000
hk00991,2000
hk03939,2000
hk00888,2000
hk08346,10000
hk03337,2000
hk00329,4000
hk01347,1000
hk01317,2000
hk01033,2000
hk00670,2000
hk08325,10000
hk02349,4000
hk03355,2000
hk01823,2000
hk08269,10000
hk00776,1000
hk00769,2000
hk08111,5000
hk08212,8000
hk03393,2000
hk01476,1000
hk08299,12000
hk08049,4000
hk01117,1000
hk00660,20000
hk08102,10000
hk01572,4000
hk00764,10000
hk00206,1000
hk08353,3000
hk01064,5000
hk02312,20000
hk01683,4000
hk01259,1000
hk00567,2000
hk00528,2000
hk02120,100
hk01958,500
hk00983,2000
hk00932,4000
hk00196,1000
hk08005,2000
hk02255,1000
hk08060,10000
hk08031,2000
hk01486,2000
hk08290,10000
hk01063,10000
hk08337,10000
hk08051,10000
hk08123,6000
hk01157,200
hk00276,3000
hk00186,20000
hk00121,10000
hk00710,1000
hk01900,1000
hk00918,2000
hk00826,2000
hk00469,4000
hk00806,1000
hk08315,10000
hk08006,10000
hk02218,500
hk08007,10000
hk02121,1000
hk08088,8000
hk00110,2000
hk02357,1000
hk08162,10000
hk01632,2000
hk00418,2000
hk08071,5000
hk01499,10000
hk01087,1000
hk01623,1000
hk01190,2000
hk02178,1000
hk00091,50000
hk08266,16000
hk01520,6000
hk06136,1000
hk08225,20000
hk01098,1000
hk00648,2500
hk08082,5000
hk00030,2000
hk01560,2000
hk01176,2000
hk00058,20000
hk08301,8000
hk01328,10000
hk08361,2000
hk01227,20000
hk08189,5000
hk01539,2000
hk00359,4000
hk02166,2000
hk00726,20000
hk08363,2000
hk00767,40000
hk01338,2000
hk03882,1000
hk00205,20000
hk01057,2000
hk01526,1000
hk00723,60000
hk00510,6000
hk01053,2000
hk01013,2000
hk02362,1000
hk08057,4000
hk01290,2000
hk08370,8000
hk00372,2000
hk08226,4000
hk06889,200
hk01655,5000
hk08235,10000
hk08262,10000
hk00682,2000
hk03303,2000
hk01380,10000
hk01185,2000
hk01023,1000
hk00722,2000
hk08230,5000
hk01245,2000
hk00436,20000
hk08179,12000
hk08308,4000
hk08120,20000
hk01569,2000
hk08013,20000
hk08256,4000
hk00136,4000
hk08221,20000
hk03678,1000
hk01532,3000
hk02211,1000
hk08320,10000
hk08161,10000
hk00698,10000
hk03886,2000
hk00975,500
hk00616,5000
hk01019,6000
hk01220,30000
hk01046,5000
hk08368,1000
hk00082,2000
hk00612,8000
hk08182,10000
hk00269,5000
hk02965,2000
